fold,horizon,n,brier,brier_persistence,reliability_slope,slope_pass
5,60,14460,0.011659651938412686,0.02309820193637621,0.8358405073169344,False
5,120,13716,0.01998545344277921,0.044546515018955964,0.7133642447651616,False
5,180,12924,0.020500951308114496,0.060894459919529555,0.8119703071514243,False
5,240,12120,0.021587773664091824,0.07466996699669967,0.7570708662535511,False
5,360,10524,0.021788558395608216,0.10271759787153174,0.9237714149816012,True
6,15,15126,0.008447169476598064,0.009784477059367976,0.9314855502562238,True
6,30,14904,0.010619713406756137,0.017512077294685992,1.0393384466385251,True
6,60,14460,0.013134773046476849,0.030982019363762103,0.8257476678226198,False
6,120,13716,0.015267616417096959,0.05300379119276757,1.032254398535752,True
6,180,12924,0.017706552945163587,0.07010213556174559,0.8168026985284641,False
6,240,12120,0.02348884171251698,0.08217821782178218,0.672186948734856,False
6,360,10524,0.024000416861056716,0.10594830862789814,0.5308317300061015,False
7,15,13782,0.0051443091242956915,0.009287476418516906,1.068285013432503,True
7,30,13656,0.0072512440477855485,0.015304628002343293,1.111023348695975,False
7,60,13300,0.009635735842087493,0.026090225563909775,1.0840956948786855,True
7,120,12722,0.014376691737493827,0.050699575538437354,0.9362916492301407,True
7,180,12037,0.015065982294358453,0.06795713217579132,1.0758978572404145,True
7,240,11265,0.0171700261494101,0.08388814913448735,1.065023096490454,True
7,360,9644,0.017607956873099958,0.11105350476980506,1.1091455993267807,False
8,15,14768,0.004811304330298149,0.008464247020585049,0.9870296384863084,True
8,30,14543,0.006611551567067289,0.012927181461871691,0.9964552212109219,True
8,60,14098,0.009641840278063432,0.023123847354234645,0.8989223064535121,False
8,120,13342,0.012356218436327204,0.04392145105681307,0.8970117931905507,False
8,180,12539,0.013489216548733298,0.0600526357763777,0.8858996912111652,False
8,240,11725,0.01484557662579088,0.0731769722814499,0.9436723623838011,True
8,360,10114,0.01581062308801871,0.10104805220486454,0.7096804495939045,False
9,15,13021,0.004524017195091952,0.008217494816066354,1.0177343216575883,True
9,30,12899,0.005991871874199139,0.014187146290410109,0.9727887696912014,True
9,60,12547,0.009519377574446812,0.024627400972343987,1.0116547492437413,True
9,120,11927,0.015999803301565505,0.04703613649702356,0.9240168997576043,True
9,180,11210,0.020106190899579744,0.06431757359500447,0.7943126811266966,False
9,240,10429,0.022428548459945723,0.07757215456899032,0.8284742950482339,False
9,360,9231,0.02957973393441281,0.10020582818762865,0.5549952668045776,False
10,15,9963,0.006176283750671711,0.005219311452373783,0.8735884509194183,False
10,30,9774,0.008276892482936091,0.01053816247186413,0.9553094534488412,True
10,60,9365,0.01149908263108256,0.0200747463961559,1.0207193266753334,True
10,120,8791,0.017229506696992764,0.034580821294505744,0.8536906748103372,False
10,180,8562,0.023971286913931772,0.04882036907264658,0.7007321325923412,False
10,240,8106,0.025653527147138942,0.058968665186281764,0.6871088764189763,False
10,360,7075,0.029712130117447142,0.0703886925795053,0.5485259432954799,False
11,15,11568,0.004216140830685654,0.004754495159059474,0.9827464238885188,True
11,30,11382,0.007785600695620514,0.008346512036548936,0.9220880855976328,True
11,60,11011,0.014632656917838117,0.015166651530287893,0.6887453503080017,False
11,120,10396,0.02190319519986065,0.02770296267795306,0.6412154073789437,False
11,180,9853,0.02669175147955342,0.0382624581345783,0.745530095041145,False
11,240,9348,0.02624355446997519,0.049850235344458704,0.24082774907769328,False
11,360,8286,0.029870963006237077,0.06927347332850592,0.3355450939362883,False
12,15,11977,0.00499208378794975,0.00851632295232529,0.9120855056832269,True
12,30,11857,0.007068070926270742,0.013747153580163617,0.8902896220786094,False
12,60,11822,0.009569019671867636,0.02385383183894434,0.8483728937983732,False
12,120,11304,0.012869366561574324,0.04069355980184006,0.8650393595809784,False
12,180,10715,0.013824678505535537,0.05562295846943537,0.9093481039070328,True
12,240,9999,0.012390380192632411,0.06880688068806881,1.000124323164842,True
12,360,8684,0.01563593122302356,0.0998387839705205,0.7474015975517206,False
13,15,10391,0.004788323361885332,0.008661341545568281,0.8046992023282008,False
13,30,10010,0.007575298218819815,0.014985014985014986,0.7090252482468364,False
13,60,9738,0.0110059311917785,0.020846169644690903,0.8972296557803032,False
13,120,9258,0.016458512923384936,0.03596889176928062,0.7631869573487617,False
13,180,8423,0.01824023745705354,0.04772646325537219,0.7481640948186135,False
13,240,7693,0.02109020343629996,0.05485506304432601,0.6287147416770105,False
13,360,6045,0.025760030636376132,0.07328370554177006,0.5689626863095724,False
14,15,14091,0.00750309894999643,0.009083812362500887,0.9112579257326161,True
14,30,13912,0.010564593068722613,0.015813686026451983,0.9926360696688111,True
