ts_kst,parking_id,cell_cnt,park_count,compet_occ_500,compet_n_500,target_occ_pct
2026-09-04 15:25:32+09:00,19,101,101,76.3423383725397,4,100.0
2026-09-04 15:30:32+09:00,19,101,101,75.3737599710754,4,100.0
2026-09-04 15:35:32+09:00,19,101,101,77.17680157277472,4,100.0
2026-09-04 15:40:32+09:00,19,101,101,77.04940907961043,4,100.0
2026-09-04 15:45:34+09:00,19,101,101,76.3423383725397,4,100.0
2026-09-04 15:50:34+09:00,19,101,101,75.84514044245589,4,100.0
2026-09-04 15:55:33+09:00,19,101,101,77.39170225747407,4,100.0
2026-09-04 16:00:34+09:00,19,101,101,77.81427247870201,4,100.0
2026-09-04 16:05:34+09:00,19,101,101,78.44445574311345,4,100.0
2026-09-04 16:10:35+09:00,19,101,101,77.85636002078955,4,100.0
2026-09-04 16:15:35+09:00,19,101,101,75.320995186767,4,100.0
2026-09-04 16:20:33+09:00,19,101,101,71.2396334711771,4,100.0
2026-09-04 16:25:32+09:00,19,101,101,72.84008993740537,4,100.0
2026-09-04 16:30:33+09:00,19,101,101,72.04155650464375,4,100.0
2026-09-04 16:35:32+09:00,19,101,101,73.8934083564956,4,100.0
2026-09-04 16:40:32+09:00,19,101,101,73.6055182699478,4,100.0
2026-09-04 16:45:32+09:00,19,101,101,76.00394323548686,4,100.0
2026-09-04 16:50:32+09:00,19,101,101,73.99498339095655,4,100.0
2026-09-04 16:55:32+09:00,19,101,101,76.00563803583938,4,100.0
2026-09-04 17:00:32+09:00,19,101,101,74.95796895125754,4,100.0
2026-09-04 17:05:33+09:00,19,101,101,74.07469550087,4,100.0
2026-09-04 17:10:33+09:00,19,101,101,74.5797460059205,4,100.0
2026-09-04 17:15:32+09:00,19,101,101,74.41811854563532,4,100.0
2026-09-04 17:20:32+09:00,19,101,101,72.49446365218176,4,100.0
2026-09-04 17:25:32+09:00,19,101,101,72.78794657989289,4,100.0
2026-09-04 17:30:34+09:00,19,101,101,67.36650622556662,4,100.0
2026-09-04 17:35:35+09:00,19,101,101,66.32386504869726,4,100.0
2026-09-04 17:40:35+09:00,19,101,101,59.93497615980838,4,100.0
2026-09-04 17:45:34+09:00,19,101,101,60.73966736718414,4,100.0
2026-09-04 17:50:32+09:00,19,101,101,60.654362416107375,4,100.0
2026-09-04 17:55:33+09:00,19,101,101,59.80978690710234,4,100.0
2026-09-04 18:00:32+09:00,19,101,101,58.510157503446095,4,100.0
2026-09-04 18:05:32+09:00,19,101,101,57.964714256660564,4,100.0
2026-09-04 18:10:34+09:00,19,101,101,57.92601631527806,4,100.0
2026-09-04 18:15:32+09:00,19,101,101,55.91536167039523,4,100.0
2026-09-04 18:20:32+09:00,19,101,101,56.79694032043025,4,100.0
2026-09-04 18:25:32+09:00,19,101,101,56.16788692292048,4,100.0
2026-09-04 18:30:32+09:00,19,101,101,55.541093259214065,4,100.0
2026-09-04 18:35:32+09:00,19,101,101,56.67689196212686,4,100.0
2026-09-04 18:40:35+09:00,19,101,101,57.43220798589926,4,100.0
2026-09-04 18:45:35+09:00,19,101,101,59.113449935597586,4,100.0
2026-09-04 18:50:33+09:00,19,101,101,60.12129121189524,4,100.0
2026-09-04 18:55:34+09:00,19,101,101,60.83621449393261,4,100.0
2026-09-04 19:00:34+09:00,19,101,101,61.721182744672674,4,100.0
2026-09-04 19:05:32+09:00,19,101,101,61.63813752739927,4,100.0
2026-09-04 19:10:33+09:00,19,101,101,62.189230108693195,4,100.0
2026-09-04 19:15:32+09:00,19,101,101,62.779020631369626,4,100.0
2026-09-04 19:20:32+09:00,19,101,101,61.89631211443292,4,100.0
2026-09-04 19:25:32+09:00,19,101,101,61.1864732334531,4,100.0
2026-09-04 19:30:32+09:00,19,101,101,60.4726798183174,4,100.0
2026-09-04 19:35:33+09:00,19,101,101,59.25553069848372,4,100.0
2026-09-04 19:40:35+09:00,19,101,101,59.047352721849364,4,100.0
2026-09-04 19:45:32+09:00,19,101,101,56.48622692246853,4,100.0
2026-09-04 19:50:33+09:00,19,101,101,56.78140465053217,4,100.0
2026-09-04 19:55:34+09:00,19,101,101,57.12036472103586,4,100.0
2026-09-04 20:00:32+09:00,19,101,101,56.15404605337491,4,100.0
2026-09-04 20:05:33+09:00,19,101,101,54.93746186699207,4,100.0
2026-09-04 20:10:32+09:00,19,101,101,55.35607755406413,4,100.0
2026-09-04 20:15:32+09:00,19,101,101,54.43241136194156,4,100.0
2026-09-04 20:20:33+09:00,19,101,101,52.961042189230106,4,100.0
2026-09-04 20:25:33+09:00,19,101,101,49.340948636250644,4,100.0
2026-09-04 20:30:33+09:00,19,101,101,48.544110003841546,4,100.0
2026-09-04 20:35:32+09:00,19,101,101,49.21525094343886,4,100.0
2026-09-04 20:40:32+09:00,19,101,101,48.45936998621562,4,100.0
2026-09-04 20:45:32+09:00,19,101,101,48.71302510564256,4,100.0
2026-09-04 20:50:32+09:00,19,101,101,49.13164079271462,4,100.0
2026-09-04 20:55:33+09:00,19,101,101,47.70235916209071,4,100.0
2026-09-04 21:00:33+09:00,19,101,101,47.49248638510383,4,100.0
2026-09-04 21:05:33+09:00,19,101,101,47.367353625742886,4,100.0
2026-09-04 21:10:34+09:00,19,101,101,45.728199218132104,4,100.0
2026-09-04 21:15:36+09:00,19,101,101,44.54974803968092,4,100.0
2026-09-04 21:20:34+09:00,19,101,101,44.172090027794724,4,100.0
2026-09-04 21:25:32+09:00,19,101,101,44.17378482814724,4,100.0
2026-09-04 21:30:32+09:00,19,101,101,44.08904481052132,4,100.0
2026-09-04 21:35:32+09:00,19,101,101,43.62777664791087,4,100.0
2026-09-04 21:40:32+09:00,19,101,101,43.54303663028495,4,100.0
2026-09-04 21:45:34+09:00,19,101,101,43.795561882810205,4,100.0
2026-09-04 21:50:33+09:00,19,101,101,43.165378618398755,4,100.0
2026-09-04 21:55:32+09:00,19,101,101,43.165378618398755,4,100.0
2026-09-04 22:00:32+09:00,19,101,101,42.74450319752333,4,100.0
2026-09-04 22:05:32+09:00,19,101,101,41.98692743994757,4,100.0
2026-09-04 22:10:33+09:00,19,101,101,41.27143922445936,4,100.0
2026-09-04 22:15:33+09:00,19,101,101,41.22935168237182,4,100.0
2026-09-04 22:20:32+09:00,19,101,101,39.50432739023343,4,100.0
2026-09-04 22:25:33+09:00,19,101,101,39.63002508304522,4,100.0
2026-09-04 22:30:33+09:00,19,101,101,40.85112873703478,4,100.0
2026-09-04 22:35:32+09:00,19,101,101,40.598603484509525,4,100.0
2026-09-04 22:40:33+09:00,19,101,101,39.588502474408514,4,100.0
2026-09-04 22:45:33+09:00,19,101,101,39.12553951144555,4,100.0
2026-09-04 22:50:32+09:00,19,101,101,38.78996904164689,4,100.0
2026-09-04 22:55:32+09:00,19,101,101,38.70522902402097,4,100.0
2026-09-04 23:00:33+09:00,19,101,101,39.88368020247214,4,100.0
2026-09-04 23:05:32+09:00,19,101,101,38.48580887171491,4,100.0
2026-09-04 23:10:34+09:00,19,101,101,37.560447879239824,4,100.0
2026-09-04 23:15:36+09:00,19,101,101,37.30792262671457,4,100.0
2026-09-04 23:20:32+09:00,19,101,101,37.05539737418932,4,100.0
2026-09-04 23:25:32+09:00,19,101,101,36.550346869138814,4,100.0
2026-09-04 23:30:32+09:00,19,101,101,36.130036381714234,4,100.0
2026-09-04 23:35:32+09:00,19,101,101,35.709725894289654,4,100.0
2026-09-04 23:40:32+09:00,19,101,101,36.04529636408831,4,100.0
2026-09-04 23:45:32+09:00,19,101,101,36.04529636408831,4,100.0
2026-09-04 23:50:33+09:00,19,101,101,35.96055634646238,4,100.0
2026-09-04 23:55:32+09:00,19,101,101,35.16032811334825,4,100.0
2026-09-04 09:45:34+09:00,20,170,155,,0,91.17647058823529
2026-09-04 09:50:33+09:00,20,170,156,,0,91.76470588235294
2026-09-04 09:55:33+09:00,20,170,156,,0,91.76470588235294
2026-09-04 10:00:32+09:00,20,170,156,,0,91.76470588235294
2026-09-04 10:05:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 10:10:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 10:15:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 10:20:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 10:25:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 10:30:32+09:00,20,170,151,,0,88.8235294117647
2026-09-04 10:35:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 10:40:32+09:00,20,170,147,,0,86.47058823529412
2026-09-04 10:45:32+09:00,20,170,147,,0,86.47058823529412
2026-09-04 10:50:32+09:00,20,170,147,,0,86.47058823529412
2026-09-04 10:55:32+09:00,20,170,147,,0,86.47058823529412
2026-09-04 11:00:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:05:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:10:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:15:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:20:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:25:32+09:00,20,170,151,,0,88.8235294117647
2026-09-04 11:30:32+09:00,20,170,150,,0,88.23529411764706
2026-09-04 11:35:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 11:40:35+09:00,20,170,153,,0,90.0
2026-09-04 11:45:32+09:00,20,170,152,,0,89.41176470588236
2026-09-04 11:50:32+09:00,20,170,151,,0,88.8235294117647
2026-09-04 11:55:33+09:00,20,170,149,,0,87.6470588235294
2026-09-04 12:00:32+09:00,20,170,149,,0,87.6470588235294
