horizon,row_set,test_date,is_weekend,n,ml_mae,strongest_baseline,strongest_mae,ml_better
180,core,2026-09-16,False,8766,7.7702455431969275,lag_24h,9.487120133437122,True
180,core,2026-09-17,False,2024,4.327396420913149,lag_24h,5.645355091227158,True
180,all,2026-09-14,False,4966,6.3834749960574415,lag_7d,7.416669244050946,True
180,all,2026-09-15,False,4538,7.381366389044851,seasonal_naive,9.34811665870177,True
180,all,2026-09-16,False,8662,7.758557047266871,seasonal_naive,8.767048166573499,True
180,all,2026-09-17,False,2024,4.327396420913149,lag_24h,5.645355091227158,True
240,core,2026-09-11,False,4858,4.739828931295121,lag_24h,5.400615852382147,True
240,core,2026-09-12,True,172,10.049343555225317,persistence,17.095438683184465,True
240,core,2026-09-13,True,8703,6.392720252582147,lag_24h,9.703502667916812,True
240,core,2026-09-14,False,7201,5.935746311238687,persistence,14.332465563943355,True
240,core,2026-09-15,False,3887,7.861637077467805,lag_24h,9.624065576563822,True
240,core,2026-09-16,False,8017,8.240620860102517,lag_24h,9.56801427651723,True
240,core,2026-09-17,False,1892,5.607633783548016,lag_24h,5.554811215797134,False
240,all,2026-09-14,False,4681,6.790930572626726,lag_7d,7.355447297657679,True
240,all,2026-09-15,False,3812,7.841113987724823,seasonal_naive,9.329697006069072,True
240,all,2026-09-16,False,7913,8.237867398386879,seasonal_naive,8.718825345286081,True
240,all,2026-09-17,False,1892,5.607633783548016,lag_24h,5.554811215797134,False
360,core,2026-09-11,False,3698,5.329223395136755,lag_24h,4.617069525598374,False
360,core,2026-09-13,True,6633,6.940253766967898,lag_24h,10.133471008530842,True
360,core,2026-09-14,False,7201,7.131169383928536,lag_24h,14.940974646875356,True
360,core,2026-09-15,False,2317,8.810673464885173,lag_24h,9.71391905528122,True
360,core,2026-09-16,False,6433,8.920989211846836,lag_24h,9.821109745079118,True
360,core,2026-09-17,False,1892,6.004064739601471,lag_24h,5.554811215797134,False
360,all,2026-09-14,False,4681,7.52908159430063,lag_7d,7.355447297657679,False
360,all,2026-09-15,False,2308,8.734910143815359,seasonal_naive,8.813176294448603,True
360,all,2026-09-16,False,6329,8.934224746985304,seasonal_naive,8.8176556786116,False
360,all,2026-09-17,False,1892,6.004064739601471,lag_24h,5.554811215797134,False
720,core,2026-09-11,False,2795,5.744856939584876,lag_24h,3.647919330536123,False
720,core,2026-09-13,True,1391,7.949257740168649,lag_24h,12.217394816802292,True
720,core,2026-09-14,False,7201,10.366746894015185,lag_24h,14.940974646875356,True
720,core,2026-09-16,False,2494,8.483147196415517,lag_24h,8.588742424063545,True
720,core,2026-09-17,False,1892,6.209156890521996,lag_24h,5.554811215797134,False
720,all,2026-09-14,False,4681,12.038977562338884,lag_7d,7.355447297657679,False
720,all,2026-09-16,False,2408,8.559427776474454,seasonal_naive,7.985145623967227,False
720,all,2026-09-17,False,1892,6.209156890521996,lag_24h,5.554811215797134,False
1440,core,2026-09-14,False,2569,10.782362719103816,persistence,22.2564592359505,True
1440,all,2026-09-14,False,2569,10.782362719103816,lag_7d,7.774278413251751,False
