horizon,row_set,model,parking_id,n,ml_mae,evaluable,passes
60,core,g0,163,228,4.5362869350659825,True,True
60,core,g0,164,228,6.040350399164892,True,True
60,core,g0,165,228,22.042467726646702,True,False
60,core,g0,166,228,6.620681580539591,True,True
60,core,g0,167,228,12.681628785795056,True,False
60,core,g0,168,228,14.10253620748107,True,False
60,core,g0,169,226,12.802544905449757,True,False
60,core,g0,170,228,10.717071170652925,True,False
60,core,g0,171,228,11.347123762962232,True,False
60,core,g0,172,204,2.938429303628535,True,True
60,core,g0,181,1175,2.9420864749703126,True,True
60,core,g0,182,1175,5.253654166402232,True,True
60,core,g0,183,1175,7.844988826345542,True,True
60,core,g0,201,1175,5.265251936574203,True,True
60,core,g0,241,321,11.649045973736996,True,False
60,core,g0,261,321,9.342348246622027,True,True
60,core,g0,262,321,11.318147247446444,True,False
60,core,g0,401,1175,6.241276694519396,True,True
60,core,g0,421,1175,4.293763037217882,True,True
60,core,g0,441,1175,4.440800540792022,True,True
60,core,g0,461,1175,5.444765693292894,True,True
60,core,g0,521,1175,2.066074589483786,True,True
60,core,g0,522,1175,1.5496259715129612,True,True
60,all,g0,7,315,0.8266508798644682,True,True
60,all,g0,8,557,3.6327908476442308,True,True
60,all,g0,9,557,2.5738737120246467,True,True
60,all,g0,10,557,2.6989790465260106,True,True
60,all,g0,11,557,4.714574586072099,True,True
60,all,g0,12,557,1.9845425600976685,True,True
60,all,g0,13,557,4.796303900927534,True,True
60,all,g0,14,143,1.5874159616232175,True,True
60,all,g0,16,557,1.7116304758279526,True,True
60,all,g0,17,557,2.1350798579124457,True,True
60,all,g0,18,557,3.2762973772606068,True,True
60,all,g0,20,557,2.68860381807965,True,True
60,all,g0,21,557,2.7408166207944387,True,True
60,all,g0,22,188,6.686621726841562,True,True
60,all,g0,23,133,3.5394997947065256,True,True
60,all,g0,24,557,3.4055080238503583,True,True
60,all,g0,25,557,4.880523248829539,True,True
60,all,g0,26,508,6.770641592661982,True,True
60,all,g0,27,557,2.214839432156314,True,True
60,all,g0,28,557,3.5198082216958824,True,True
60,all,g0,29,557,7.613729652106077,True,True
60,all,g0,30,557,12.423682631334529,True,False
60,all,g0,31,557,2.7633961021112214,True,True
60,all,g0,33,557,5.871557677213222,True,True
60,all,g0,34,557,2.7063383165001533,True,True
60,all,g0,36,557,2.882627188620704,True,True
60,all,g0,37,557,2.0964896696138346,True,True
60,all,g0,38,557,3.7573344513997053,True,True
60,all,g0,39,557,2.84906677895689,True,True
60,all,g0,40,557,5.872595092292081,True,True
60,all,g0,42,557,4.4178348723577905,True,True
60,all,g0,48,303,10.242074002151034,True,False
60,all,g0,52,139,4.664689929454439,True,True
60,all,g0,53,310,5.232671776528002,True,True
60,all,g0,56,197,8.595691276084306,True,True
60,all,g0,81,557,5.905404903899761,True,True
60,all,g0,82,557,1.844100532917308,True,True
60,all,g0,106,557,3.8688823871864026,True,True
60,all,g0,108,557,5.080642708395703,True,True
60,all,g0,112,557,5.6002761087751605,True,True
60,all,g0,121,557,3.5569479320309463,True,True
60,all,g0,161,184,10.092495090570104,True,False
60,all,g0,162,182,12.653571022507487,True,False
60,all,g0,163,187,5.2164513609578504,True,True
60,all,g0,164,188,5.854425307934223,True,True
60,all,g0,165,188,25.399240909370274,True,False
60,all,g0,166,188,7.267329847993106,True,True
60,all,g0,167,188,14.289581513857799,True,False
60,all,g0,168,182,13.895773722845416,True,False
60,all,g0,169,186,13.431566443966746,True,False
60,all,g0,170,188,9.973782048826946,True,True
60,all,g0,171,188,12.104405529354166,True,False
60,all,g0,172,164,3.5499520206827935,True,True
60,all,g0,181,557,2.963568370384985,True,True
60,all,g0,182,557,5.733800869055244,True,True
60,all,g0,183,557,9.384097693152349,True,True
60,all,g0,201,557,7.45401656463735,True,True
60,all,g0,241,230,12.162653659238742,True,False
60,all,g0,261,228,9.470181976178084,True,True
60,all,g0,262,230,12.184399155576504,True,False
60,all,g0,401,557,7.025524009722378,True,True
60,all,g0,421,557,5.23686040169951,True,True
60,all,g0,441,557,5.900790663763939,True,True
60,all,g0,461,557,7.032978577497356,True,True
60,all,g0,521,557,2.1334395097065424,True,True
60,all,g0,522,557,1.7229464026009276,True,True
120,core,g0,7,389,0.6649385748615922,True,True
120,core,g0,8,994,3.967185027407725,True,True
120,core,g0,9,994,3.3838646539374255,True,True
