parking_id,name,horizon,access_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status
24,관악역3환승,60,accessible,558,1,3,4.0807945041816005,3.0686245013092006,5.682219809490056,4.393434221557716,1.0121700028723999,24.803258332053396,better
24,관악역3환승,120,accessible,447,1,3,6.925801640566741,4.638555049380453,9.48965128672409,6.444763898988659,2.287246591186288,33.02500865443674,better
25,관악역4환승,15,accessible,657,1,3,1.6962051440806956,1.699005638558954,4.686364718466695,4.671825756724078,-0.002800494478258475,-0.16510352465510764,worse
25,관악역4환승,30,accessible,624,1,3,2.9565949587136027,2.801548452256762,6.9879028714526,6.714163971025264,0.15504650645684048,5.244090199095122,better
25,관악역4환승,60,accessible,558,1,3,5.080189538910151,4.624469458613348,10.041170953206906,9.457284498711445,0.45572008029680333,8.970533024532951,better
25,관악역4환승,120,accessible,447,1,3,8.702081674439768,6.630937862291985,14.896028843101773,11.974275112742044,2.071143812147783,23.800555885740078,better
26,수목원입구노외,15,accessible,517,1,3,2.765078248637243,2.7192612085308707,5.146440022913178,5.042560777874312,0.04581704010637244,1.656988916279428,better
26,수목원입구노외,30,accessible,490,1,3,4.387755102040817,4.254053568799632,7.804373619744207,7.170692461170979,0.13370153324118483,3.0471512227060726,better
26,수목원입구노외,60,accessible,436,1,3,7.568807339449541,7.195179414159042,12.509000474875307,10.903298550957285,0.37362792529049926,4.936417437171445,better
26,수목원입구노외,120,accessible,360,1,3,14.027777777777779,11.159848392480235,20.671548121626497,14.647810725790363,2.8679293852975434,20.44464512291318,better
27,인덕원동노외,15,accessible,657,1,3,1.2536458450487737,1.0130932645352706,2.00666264503677,1.4606932509071588,0.24055258051350314,19.188240559609106,better
27,인덕원동노외,30,accessible,624,1,3,2.178066186686876,1.589956344019781,3.505708671047302,2.226555114145568,0.588109842667095,27.001467919654317,better
27,인덕원동노외,60,accessible,558,1,3,3.999152497483977,2.53004666477943,6.406453021621625,3.5009979590666984,1.469105832704547,36.7354291597737,better
27,인덕원동노외,120,accessible,447,1,3,7.543447835047002,3.6909247047487925,11.935607499500177,5.139861629568684,3.8525231302982093,51.07111780370925,better
28,삼덕노외,15,accessible,657,1,3,1.67427701674277,1.6675125385339582,2.6462292248911496,2.61042788270024,0.006764478208811875,0.40402383483540016,better
28,삼덕노외,30,accessible,624,1,3,2.5188127090301005,2.4570673726910965,3.8207363202387605,3.6273788284798045,0.06174533633900392,2.4513667140729853,better
28,삼덕노외,60,accessible,558,1,3,3.5939691444600284,3.388226568954839,5.364000658641375,4.732900129389894,0.20574257550518915,5.7246617106419455,better
28,삼덕노외,120,accessible,447,1,3,5.040852057192882,4.537474959770226,6.964852819471686,5.62531040046506,0.5033770974226552,9.985952607047404,better
29,남부노외,15,accessible,657,1,3,2.73972602739726,2.743660119436713,4.387519014271791,4.347600329184659,-0.003934092039453052,-0.1435943594400364,worse
29,남부노외,30,accessible,624,1,3,4.332858499525167,4.323720291070431,6.584949473250593,6.412245648342107,0.00913820845473623,0.2109048438978027,better
29,남부노외,60,accessible,558,1,3,6.624186910925262,6.368536344821396,9.551346786590031,8.820757908158242,0.25565056610386616,3.859350129179206,better
29,남부노외,120,accessible,447,1,3,9.607258264976387,7.427293809375174,13.53166991159461,10.156496987438041,2.1799644556012137,22.690807257137596,better
30,샘모루초교지하,15,accessible,657,1,3,4.077545461828086,4.059180290616701,9.470439737054146,9.403117220816823,0.018365171211384812,0.4503977057597576,better
30,샘모루초교지하,30,accessible,624,1,3,7.675438596491229,7.144772641302564,14.983226752451104,14.538188200964461,0.530665955188665,6.9138193018866065,better
30,샘모루초교지하,60,accessible,558,1,3,14.459535936615731,12.644835909331999,23.090518585052372,21.471828303575485,1.8147000272837328,12.55019549201705,better
30,샘모루초교지하,120,accessible,447,1,3,21.221398014050788,15.549238592673776,29.645096709866824,22.765790624852176,5.672159421377012,26.72849082620027,better
31,스마트스퀘어지하,15,accessible,657,1,3,2.3663712060166535,1.972675970517933,4.588873463106668,3.959141124648959,0.39369523549872043,16.637086966648535,better
31,스마트스퀘어지하,30,accessible,624,1,3,4.639894419306184,3.242685098501661,8.609134883509665,6.343603346669763,1.3972093208045235,30.112955048952426,better
31,스마트스퀘어지하,60,accessible,558,1,3,8.791903858317522,5.399358443221683,15.607884457018782,10.723769553007836,3.3925454150958387,38.58715324652173,better
31,스마트스퀘어지하,120,accessible,447,1,3,16.3074088695881,8.684929602018855,26.112520229147123,16.242983320671463,7.622479267569247,46.7424305634754,better
33,박달시장2노외,15,accessible,657,1,3,1.9312822816079047,1.8762390881091853,3.308495396975017,3.20193639692392,0.055043193498719445,2.8500853563929964,better
33,박달시장2노외,30,accessible,624,1,3,3.023854560739807,2.6969186460637973,5.027590823837418,4.464886669933578,0.3269359146760098,10.811892837730353,better
33,박달시장2노외,60,accessible,558,1,3,4.759386567953464,3.6278038095037997,7.584517589871808,5.706755155599279,1.1315827584496643,23.7758110692035,better
33,박달시장2노외,120,accessible,447,1,3,7.888656617889758,4.524989529833089,12.075831456481156,6.439955914031705,3.363667088056669,42.63928893074904,better
34,동편마을지하,15,accessible,657,1,3,1.5930376969119722,1.3310844859993836,2.4725929071741914,2.0709636513825695,0.2619532109125886,16.443629138241516,better
34,동편마을지하,30,accessible,624,1,3,2.8580698442661636,2.118806870392472,4.3363400517039885,3.3149668225112805,0.7392629738736916,25.865812039436157,better
34,동편마을지하,60,accessible,558,1,3,5.264199485454186,3.410913747479783,7.749927265897899,5.439801083815719,1.853285737974403,35.20546178189721,better
34,동편마을지하,120,accessible,447,1,3,9.925749028972975,4.836711662538067,13.98103221784143,7.74933325339629,5.089037366434908,51.271066310261865,better
36,충훈동지하,15,accessible,657,1,3,1.199844554551637,1.1646820359144456,2.0731214090384222,2.0041572925877547,0.03516251863719133,2.9305895087660763,better
36,충훈동지하,30,accessible,624,1,3,2.0833333333333335,1.8442523628539498,3.2090578457054173,2.805682006292766,0.2390809704793837,11.475886583010416,better
36,충훈동지하,60,accessible,558,1,3,3.431708991077557,2.3784815470702894,4.96535601343478,3.2848162846899736,1.0532274440072675,30.69104771837177,better
36,충훈동지하,120,accessible,447,1,3,5.397686705697557,3.884027574406925,8.239775579494175,4.873549241096528,1.5136591312906318,28.042737821238884,better
37,관양동노외,15,accessible,657,1,3,0.935625391709195,0.8315327627190595,1.462778997136648,1.2710004014135012,0.1040926289901355,11.125460030534196,better
37,관양동노외,30,accessible,624,1,3,1.5130090497737556,1.1634732687981075,2.379981772326599,1.7496921846803086,0.3495357809756481,23.102028439811058,better
37,관양동노외,60,accessible,558,1,3,2.720550585825728,1.6820837201907235,4.2020195038224015,2.3300262056471177,1.0384668656350047,38.17120222081128,better
37,관양동노외,120,accessible,447,1,3,5.096535258398662,2.324196313385639,7.998885303575747,3.224400026527765,2.772338945013023,54.39654205167013,better
38,삼덕공원지하,15,accessible,657,1,3,1.6483861350405622,1.244609032439952,2.998842681100793,2.2271495470769285,0.4037771026006103,24.495298402317275,better
38,삼덕공원지하,30,accessible,624,1,3,2.971352101506741,1.7949161917775187,5.264855579065518,3.0215034624262467,1.176435909729222,39.59261203452341,better
38,삼덕공원지하,60,accessible,558,1,3,5.441931788789121,2.531733186304607,9.290992426318965,3.9009692110549286,2.9101986024845146,53.477307607563006,better
38,삼덕공원지하,120,accessible,447,1,3,9.948338291934778,3.6078722202652256,16.97448856103032,5.537831524506383,6.340466071669553,63.73392103895215,better
39,안양7동노외,15,accessible,657,1,3,1.2920428926196772,1.2206805449395166,1.9451088375506649,1.822317820720903,0.07136234768016059,5.5232181600000985,better
39,안양7동노외,30,accessible,624,1,3,1.9628397917871603,1.7545666943053055,2.8448195981652327,2.4779473381944443,0.20827309748185474,10.610804730640938,better
39,안양7동노외,60,accessible,558,1,3,2.998086614385426,2.735640651822936,4.467384670887203,3.558680645811713,0.26244596256248975,8.753781872185446,better
39,안양7동노외,120,accessible,447,1,3,4.827505004121042,3.5377510785550133,7.4596926744283945,4.491832812545583,1.2897539255660284,26.716780706907997,better
40,안양6동1노외,15,accessible,657,1,3,2.186707255200406,2.1852421891330454,4.9400259018253365,4.937137688748371,0.001465066067360521,0.06699872897372591,better
