fold,horizon,segment,n,n_interval,inside,coverage,avg_width,status,ml_mae,persistence_mae
8,15,평일,14768,14768,12121,0.820761105092091,6.861207956750696,pass,2.2810734537929074,2.3705853925888927
8,15,주말,0,0,0,,,unavailable,,
8,15,운영중·평일,7698,7698,6281,0.8159262146011951,9.139523698843314,pass,3.075621126681558,3.1373422240776123
8,15,운영중·주말,0,0,0,,,unavailable,,
8,15,운영외·평일,7070,7070,5840,0.826025459688826,4.380518482545748,pass,1.4159492690833129,1.5357205992649656
8,15,운영외·주말,0,0,0,,,unavailable,,
8,30,전체,14543,14543,11892,0.817712989066905,9.658177574995143,pass,3.2151404401325507,3.736003000456665
8,30,운영중,7638,7638,6211,0.813170987169416,12.255653861160054,pass,4.229408845682078,4.701933232027023
8,30,운영외,6905,6905,5681,0.8227371469949312,6.784966297120043,pass,2.093202412386383,2.6675344836232995
8,30,평일,14543,14543,11892,0.817712989066905,9.658177574995143,pass,3.2151404401325507,3.736003000456665
8,30,주말,0,0,0,,,unavailable,,
8,30,운영중·평일,7638,7638,6211,0.813170987169416,12.255653861160054,pass,4.229408845682078,4.701933232027023
8,30,운영중·주말,0,0,0,,,unavailable,,
8,30,운영외·평일,6905,6905,5681,0.8227371469949312,6.784966297120043,pass,2.093202412386383,2.6675344836232995
8,30,운영외·주말,0,0,0,,,unavailable,,
8,60,전체,14098,14098,11449,0.8121010072350688,13.29417291719587,pass,4.3922635120121205,6.106164217159258
8,60,운영중,7521,7521,6069,0.8069405664140407,16.02849118905519,pass,5.484603844589718,7.220367827844489
8,60,운영외,6577,6577,5380,0.8180021286300745,10.167396617567771,pass,3.143139041688856,4.8320384218173675
8,60,평일,14098,14098,11449,0.8121010072350688,13.29417291719587,pass,4.3922635120121205,6.106164217159258
8,60,주말,0,0,0,,,unavailable,,
8,60,운영중·평일,7521,7521,6069,0.8069405664140407,16.02849118905519,pass,5.484603844589718,7.220367827844489
8,60,운영중·주말,0,0,0,,,unavailable,,
8,60,운영외·평일,6577,6577,5380,0.8180021286300745,10.167396617567771,pass,3.143139041688856,4.8320384218173675
8,60,운영외·주말,0,0,0,,,unavailable,,
8,120,전체,13342,13342,10616,0.7956828061759856,18.48122830039999,pass,5.166076480804159,10.381035261399774
8,120,운영중,7292,7292,5784,0.7931980252331322,21.110978178550507,pass,5.895594650073202,11.598598858964202
8,120,운영외,6050,6050,4832,0.7986776859504132,15.311619025776263,pass,4.286796069182694,8.913518938517159
8,120,평일,13342,13342,10616,0.7956828061759856,18.48122830039999,pass,5.166076480804159,10.381035261399774
8,120,주말,0,0,0,,,unavailable,,
8,120,운영중·평일,7292,7292,5784,0.7931980252331322,21.110978178550507,pass,5.895594650073202,11.598598858964202
8,120,운영중·주말,0,0,0,,,unavailable,,
8,120,운영외·평일,6050,6050,4832,0.7986776859504132,15.311619025776263,pass,4.286796069182694,8.913518938517159
8,120,운영외·주말,0,0,0,,,unavailable,,
8,240,전체,11725,11725,9553,0.8147547974413646,23.827911891209297,pass,5.980590198763238,17.174160793493378
8,240,운영중,6670,6670,5346,0.8014992503748126,25.013953455384343,pass,6.585275580033412,18.59764817427252
8,240,운영외,5055,5055,4207,0.8322453016815035,22.262947057767636,fail,5.182716510717332,15.295889610546416
8,240,평일,11725,11725,9553,0.8147547974413646,23.827911891209297,pass,5.980590198763238,17.174160793493378
8,240,주말,0,0,0,,,unavailable,,
8,240,운영중·평일,6670,6670,5346,0.8014992503748126,25.013953455384343,pass,6.585275580033412,18.59764817427252
8,240,운영중·주말,0,0,0,,,unavailable,,
8,240,운영외·평일,5055,5055,4207,0.8322453016815035,22.262947057767636,fail,5.182716510717332,15.295889610546416
8,240,운영외·주말,0,0,0,,,unavailable,,
8,360,전체,10114,10114,8087,0.7995847340320348,25.68750233646349,pass,6.51909859844422,24.03936164726883
8,360,운영중,6020,6020,4843,0.804485049833887,26.03905981967085,pass,6.714519132599842,25.308950624424607
8,360,운영외,4094,4094,3244,0.7923790913531998,25.170556550213288,pass,6.2317435384498765,22.172501451255684
8,360,평일,10114,10114,8087,0.7995847340320348,25.68750233646349,pass,6.51909859844422,24.03936164726883
8,360,주말,0,0,0,,,unavailable,,
8,360,운영중·평일,6020,6020,4843,0.804485049833887,26.03905981967085,pass,6.714519132599842,25.308950624424607
8,360,운영중·주말,0,0,0,,,unavailable,,
8,360,운영외·평일,4094,4094,3244,0.7923790913531998,25.170556550213288,pass,6.2317435384498765,22.172501451255684
8,360,운영외·주말,0,0,0,,,unavailable,,
9,15,전체,13021,13021,10625,0.8159895553336918,6.665541772145487,pass,2.2392405755150806,2.3216693349252204
9,15,운영중,6612,6612,5347,0.808681185722928,8.949860115042025,pass,3.141437307863704,3.2016119196051185
9,15,운영외,6409,6409,5278,0.8235294117647058,4.308869454587068,pass,1.308467476078492,1.4138552656627013
9,15,평일,13021,13021,10625,0.8159895553336918,6.665541772145487,pass,2.2392405755150806,2.3216693349252204
9,15,주말,0,0,0,,,unavailable,,
9,15,운영중·평일,6612,6612,5347,0.808681185722928,8.949860115042025,pass,3.141437307863704,3.2016119196051185
9,15,운영중·주말,0,0,0,,,unavailable,,
9,15,운영외·평일,6409,6409,5278,0.8235294117647058,4.308869454587068,pass,1.308467476078492,1.4138552656627013
9,15,운영외·주말,0,0,0,,,unavailable,,
9,30,전체,12899,12899,10402,0.8064191022559888,9.544590648174648,pass,3.2155559752307608,3.6325373293839562
9,30,운영중,6607,6607,5322,0.8055093083093688,12.15183794191778,pass,4.435540213646915,4.771585390638523
9,30,운영외,6292,6292,5080,0.8073744437380801,6.806815239757472,pass,1.9344949670909757,2.4364644526025
9,30,평일,12899,12899,10402,0.8064191022559888,9.544590648174648,pass,3.2155559752307608,3.6325373293839562
9,30,주말,0,0,0,,,unavailable,,
9,30,운영중·평일,6607,6607,5322,0.8055093083093688,12.15183794191778,pass,4.435540213646915,4.771585390638523
9,30,운영중·주말,0,0,0,,,unavailable,,
9,30,운영외·평일,6292,6292,5080,0.8073744437380801,6.806815239757472,pass,1.9344949670909757,2.4364644526025
9,30,운영외·주말,0,0,0,,,unavailable,,
9,60,전체,12547,12547,9940,0.7922212481071172,12.818937524705955,pass,4.632876079373892,5.884386503589482
9,60,운영중,6521,6521,5163,0.7917497316362521,15.581987100668352,pass,6.034775438633081,7.21081615773433
9,60,운영외,6026,6026,4777,0.7927314968469964,9.828919886994244,pass,3.115819039591422,4.448998555584413
9,60,평일,12547,12547,9940,0.7922212481071172,12.818937524705955,pass,4.632876079373892,5.884386503589482
9,60,주말,0,0,0,,,unavailable,,
9,60,운영중·평일,6521,6521,5163,0.7917497316362521,15.581987100668352,pass,6.034775438633081,7.21081615773433
9,60,운영중·주말,0,0,0,,,unavailable,,
9,60,운영외·평일,6026,6026,4777,0.7927314968469964,9.828919886994244,pass,3.115819039591422,4.448998555584413
9,60,운영외·주말,0,0,0,,,unavailable,,
9,120,전체,11927,11927,9317,0.7811687767250776,18.14889257723793,pass,5.457227415661589,9.968741949718307
9,120,운영중,6574,6574,5172,0.786735625190143,20.845669895817935,pass,6.2483524128232375,11.724526138569665
9,120,운영외,5353,5353,4145,0.7743321501961516,14.836990075398786,pass,4.4856496590128545,7.812469717790636
