horizon,row_set,parking_id,n,ml_mae,evaluable,passes
30,core,181,1296,2.295262089746519,True,True
30,core,182,1296,3.5518773230948812,True,True
30,core,183,1296,5.016301289161231,True,True
30,core,201,1296,3.0244948839110344,True,True
30,core,241,380,9.884852899869172,True,True
30,core,261,380,7.881892622796151,True,True
30,core,262,380,10.048800093579949,True,False
30,core,401,1296,4.54353672728545,True,True
30,core,421,1296,2.927143367721381,True,True
30,core,441,1296,3.1059481331055747,True,True
30,core,461,1296,3.6714216005665965,True,True
30,core,521,1296,1.4480565977800757,True,True
30,core,522,1296,1.0730131526552926,True,True
30,all,7,357,0.7054627751484072,True,True
30,all,8,620,2.8219361632604043,True,True
30,all,9,620,1.9625044792839144,True,True
30,all,10,620,1.8881310281800692,True,True
30,all,11,620,3.5299364165584453,True,True
30,all,12,620,1.5291047724961542,True,True
30,all,13,620,3.3396963522550838,True,True
30,all,14,167,1.4684962996958886,True,True
30,all,16,620,1.1805112395829342,True,True
30,all,17,620,1.6362452905156004,True,True
30,all,18,620,2.6365461054065134,True,True
30,all,20,620,1.7093938954434766,True,True
30,all,21,620,1.9797009218255344,True,True
30,all,22,212,6.082566723771923,True,True
30,all,23,157,2.595118547419495,True,True
30,all,24,620,2.5908141002996725,True,True
30,all,25,620,3.073118655774197,True,True
30,all,26,571,4.669403755378418,True,True
30,all,27,620,1.3624960448852885,True,True
30,all,28,620,2.776769154179719,True,True
30,all,29,620,5.729326647302697,True,True
30,all,30,620,7.5544457338839,True,True
30,all,31,620,2.1092235634633263,True,True
30,all,33,620,4.433656710118672,True,True
30,all,34,620,2.170146511801532,True,True
30,all,36,620,2.337916456834799,True,True
30,all,37,620,1.3784977613768528,True,True
30,all,38,620,2.6405287926686087,True,True
30,all,39,620,2.032482183626252,True,True
30,all,40,620,4.361776154800288,True,True
30,all,42,620,2.5831502204865564,True,True
30,all,48,345,9.62877555254054,True,True
30,all,52,163,4.3500674290071935,True,True
30,all,53,352,4.712168129241868,True,True
30,all,56,227,7.623635330963606,True,True
30,all,81,620,3.931423976220331,True,True
30,all,82,620,1.3100707747583056,True,True
30,all,106,620,2.2466980018745444,True,True
30,all,108,614,2.787176652711902,True,True
30,all,112,620,4.774260414565868,True,True
30,all,121,620,2.0949456053003908,True,True
30,all,161,208,8.780795296903108,True,True
30,all,162,206,9.906661935407799,True,True
30,all,163,211,4.447624670602417,True,True
30,all,164,212,5.630022175032905,True,True
30,all,165,212,16.827383907954317,True,False
30,all,166,212,6.178754528356914,True,True
30,all,167,212,11.716273839524783,True,False
30,all,168,206,10.153397975730655,True,False
30,all,169,210,11.987861746990573,True,False
30,all,170,212,9.493814111135604,True,True
30,all,171,212,9.519349499309739,True,True
30,all,172,188,3.04373708583822,True,True
30,all,181,620,2.5149328305171,True,True
30,all,182,620,3.6292532791952143,True,True
30,all,183,620,6.3165632727712895,True,True
30,all,201,620,4.199415883998673,True,True
30,all,241,260,10.58192737637615,True,False
30,all,261,258,7.778563025108112,True,True
30,all,262,260,10.888220702693475,True,False
30,all,401,620,5.161344041017084,True,True
30,all,421,620,3.6184902001061428,True,True
30,all,441,620,3.9549426244155534,True,True
30,all,461,620,4.852601453753856,True,True
30,all,521,620,1.547761379579528,True,True
30,all,522,620,1.1921478330565847,True,True
60,core,7,533,0.49761405340420173,True,True
60,core,8,1175,3.4603408078999323,True,True
60,core,9,1175,2.6255441773506933,True,True
60,core,10,1175,2.7491632560788584,True,True
60,core,11,1175,5.2376224394804325,True,True
60,core,12,1175,1.7050266277978332,True,True
60,core,13,1175,3.532195522123608,True,True
60,core,14,171,1.997336895279996,True,True
60,core,16,1175,1.9494698983823833,True,True
60,core,17,1175,1.768546284001541,True,True
60,core,18,1175,3.149282623772738,True,True
60,core,20,1175,2.7434163478356903,True,True
60,core,21,1175,2.5129002685794743,True,True
60,core,22,276,7.221342067905157,True,True
60,core,23,180,3.649843526974141,True,True
60,core,24,1175,3.018964135755403,True,True
60,core,25,1175,4.45903013027667,True,True
60,core,26,893,6.704010546421869,True,True
60,core,27,1175,2.426555562440546,True,True
60,core,28,1175,3.4384537488501037,True,True
60,core,29,1175,6.252657931255033,True,True
60,core,30,1175,10.619155732511732,True,False
60,core,31,1175,3.732233642349029,True,True
60,core,33,1175,4.304119535091336,True,True
60,core,34,1175,2.9463582410038542,True,True
60,core,36,1175,2.585436634088668,True,True
60,core,37,1175,1.8112139860715175,True,True
60,core,38,1175,2.9538637566532735,True,True
60,core,39,1175,2.484130253287415,True,True
60,core,40,1175,5.03395940342992,True,True
60,core,42,1175,4.514213809291902,True,True
60,core,48,513,10.081791040966513,True,False
60,core,52,167,4.633557874782729,True,True
60,core,53,532,5.189565613401544,True,True
60,core,56,269,8.889624821774397,True,True
60,core,81,1175,5.532203668734834,True,True
60,core,82,1175,1.7874424813323144,True,True
60,core,106,1175,1.8515331911384163,True,True
60,core,108,1175,2.8393453224454843,True,True
60,core,112,1175,5.539283706273147,True,True
60,core,121,1175,2.7767429408416735,True,True
60,core,161,228,10.079671892897862,True,False
60,core,162,222,12.043280456442643,True,False
60,core,163,228,4.5362869350659825,True,True
60,core,164,228,6.040350399164892,True,True
60,core,165,228,22.042467726646702,True,False
60,core,166,228,6.620681580539591,True,True
60,core,167,228,12.681628785795056,True,False
60,core,168,228,14.10253620748107,True,False
60,core,169,226,12.802544905449757,True,False
60,core,170,228,10.717071170652925,True,False
