horizon,row_set,weekday_group,method,n,n_lots,mae,rmse
240,core,weekday,ml,25855,66,6.691250512840594,10.895969404359144
240,core,weekday,m1,25855,66,7.0813377554362456,11.448770083808666
240,core,weekday,persistence,25855,66,14.65351866227255,22.277009270199034
240,core,weekday,lag_24h,25855,66,9.996185125285335,16.265504299842746
240,core,weekend,ml,8875,46,6.463586642222104,10.217215651383832
240,core,weekend,m1,8875,46,5.951935649958779,9.0254142569836
240,core,weekend,persistence,8875,46,11.313125303966554,18.49205255592646
240,core,weekend,lag_24h,8875,46,9.869704544757768,14.950828200847129
240,all,all,ml,18298,66,7.513092161634109,11.996152454306438
240,all,all,m1,18298,66,8.089545089619566,12.6852530127624
240,all,all,persistence,18298,66,16.416755927386518,23.93455599078548
240,all,all,lag_24h,18298,66,11.473461242607845,18.077804291029626
240,all,all,lag_7d,18298,66,8.977403143883976,14.353061467523283
240,all,all,seasonal_naive,18298,66,8.484209618374857,13.639650282324789
240,all,weekday,ml,18298,66,7.513092161634109,11.996152454306438
240,all,weekday,m1,18298,66,8.089545089619566,12.6852530127624
240,all,weekday,persistence,18298,66,16.416755927386518,23.93455599078548
240,all,weekday,lag_24h,18298,66,11.473461242607845,18.077804291029626
240,all,weekday,lag_7d,18298,66,8.977403143883976,14.353061467523283
240,all,weekday,seasonal_naive,18298,66,8.484209618374857,13.639650282324789
240,all,weekend,ml,0,0,,
240,all,weekend,m1,0,0,,
240,all,weekend,persistence,0,0,,
240,all,weekend,lag_24h,0,0,,
240,all,weekend,lag_7d,0,0,,
240,all,weekend,seasonal_naive,0,0,,
360,core,all,ml,28174,66,7.320808780807085,11.343488795648563
360,core,all,m1,28174,66,7.214922887019319,11.225641945225691
360,core,all,persistence,28174,66,18.938947777462033,27.26180798358021
360,core,all,lag_24h,28174,66,10.224861467979911,16.482594613709633
360,core,weekday,ml,21541,66,7.437990963936713,11.690331885697903
360,core,weekday,m1,21541,66,7.3796003195182704,11.66844245897819
360,core,weekday,persistence,21541,66,20.334551043672725,28.583331090255317
360,core,weekday,lag_24h,21541,66,10.253002822491109,16.851135123202713
360,core,weekend,ml,6633,46,6.940253766967898,10.135564383571557
360,core,weekend,m1,6633,46,6.6801246700044095,9.64846918408813
360,core,weekend,persistence,6633,46,14.406656211436918,22.43958313301096
360,core,weekend,lag_24h,6633,46,10.133471008530842,15.224333312224644
360,all,all,ml,15210,66,8.107048156860161,12.679879681521033
360,all,all,m1,15210,66,8.352224338358521,12.93982861586495
360,all,all,persistence,15210,66,22.135806155548675,30.358617966922427
360,all,all,lag_24h,15210,66,11.974900977303266,18.865569573442148
360,all,all,lag_7d,15210,66,8.746322293465283,13.972424501818338
360,all,all,seasonal_naive,15210,66,8.338918562140647,13.535302287515817
360,all,weekday,ml,15210,66,8.107048156860161,12.679879681521033
360,all,weekday,m1,15210,66,8.352224338358521,12.93982861586495
360,all,weekday,persistence,15210,66,22.135806155548675,30.358617966922427
360,all,weekday,lag_24h,15210,66,11.974900977303266,18.865569573442148
360,all,weekday,lag_7d,15210,66,8.746322293465283,13.972424501818338
360,all,weekday,seasonal_naive,15210,66,8.338918562140647,13.535302287515817
360,all,weekend,ml,0,0,,
360,all,weekend,m1,0,0,,
360,all,weekend,persistence,0,0,,
360,all,weekend,lag_24h,0,0,,
360,all,weekend,lag_7d,0,0,,
360,all,weekend,seasonal_naive,0,0,,
720,core,all,ml,15773,43,8.538003613215341,13.519872474620458
720,core,all,m1,15773,43,7.144068558585042,11.323722112495567
720,core,all,persistence,15773,43,31.360567361530354,39.53413729185325
720,core,all,lag_24h,15773,43,10.56934733893822,17.567583037929225
720,core,weekday,ml,14382,43,8.594946007138853,13.670593178858027
720,core,weekday,m1,14382,43,7.15847461141319,11.40807444882587
720,core,weekday,persistence,14382,43,32.119889831977154,40.23977917266629
720,core,weekday,lag_24h,14382,43,10.409951285419313,17.458542972702606
720,core,weekend,ml,1391,43,7.949257740168649,11.849670179210994
720,core,weekend,m1,1391,43,6.995119707561021,10.411591305945265
720,core,weekend,persistence,1391,43,23.50968614660169,31.319780806356018
720,core,weekend,lag_24h,1391,43,12.217394816802292,18.657664614277206
720,all,all,ml,8981,43,9.877884521982677,15.523666871405151
720,all,all,m1,8981,43,8.40502493436262,12.987595489823434
720,all,all,persistence,8981,43,31.95357806427972,40.22561125402761
720,all,all,lag_24h,8981,43,13.169605913546105,20.576786394347895
720,all,all,lag_7d,8981,43,7.5859407364619145,11.86926364412696
720,all,all,seasonal_naive,8981,43,7.784815534478583,12.828099379132906
720,all,weekday,ml,8981,43,9.877884521982677,15.523666871405151
720,all,weekday,m1,8981,43,8.40502493436262,12.987595489823434
720,all,weekday,persistence,8981,43,31.95357806427972,40.22561125402761
720,all,weekday,lag_24h,8981,43,13.169605913546105,20.576786394347895
720,all,weekday,lag_7d,8981,43,7.5859407364619145,11.86926364412696
720,all,weekday,seasonal_naive,8981,43,7.784815534478583,12.828099379132906
