horizon,row_set,weekday_group,method,n,n_missing,n_lots,mae,rmse
180,all,weekday,h0,20190,0,66,7.567172835597447,12.108779002715671
180,all,weekday,persistence,20190,0,66,13.427296343926013,20.316127929720206
180,all,weekday,lag_24h,20190,0,66,11.288366276344632,17.77751749507113
180,all,weekday,lag_7d,20190,0,66,9.059240817717745,14.470157286742136
180,all,weekday,seasonal_naive,20190,0,66,8.52739461865242,13.648637064959335
180,all,weekend,g0,0,0,0,,
180,all,weekend,l0,0,0,0,,
180,all,weekend,h0,0,0,0,,
180,all,weekend,persistence,0,0,0,,
180,all,weekend,lag_24h,0,0,0,,
180,all,weekend,lag_7d,0,0,0,,
180,all,weekend,seasonal_naive,0,0,0,,
240,core,all,g0,34730,0,66,6.63307265934969,10.72660498533282
240,core,all,l0,33644,1086,66,6.1133996750544375,10.055993821617331
240,core,all,h0,34730,0,66,8.446208749883176,13.50459630189717
240,core,all,persistence,34730,0,66,13.799905329276125,21.373641715848827
240,core,all,lag_24h,34730,0,66,9.96386392885049,15.93986566054167
240,core,weekday,g0,25855,0,66,6.691250512840594,10.895969404359144
240,core,weekday,l0,24769,1086,66,6.099287596807377,10.128950437510744
240,core,weekday,h0,25855,0,66,7.054808380246213,11.455580651758945
240,core,weekday,persistence,25855,0,66,14.65351866227255,22.277009270199034
240,core,weekday,lag_24h,25855,0,66,9.996185125285335,16.265504299842746
240,core,weekend,g0,8875,0,46,6.463586642222104,10.217215651383832
240,core,weekend,l0,8875,0,46,6.152784696586998,9.849522902548866
240,core,weekend,h0,8875,0,46,12.499691178836834,18.203522642330626
240,core,weekend,persistence,8875,0,46,11.313125303966554,18.49205255592646
240,core,weekend,lag_24h,8875,0,46,9.869704544757768,14.950828200847129
240,all,all,g0,18298,0,66,7.513092161634109,11.996152454306438
240,all,all,l0,17287,1011,66,6.675842758310056,10.817656612196055
240,all,all,h0,18298,0,66,8.044304200314865,12.72940806079072
240,all,all,persistence,18298,0,66,16.416755927386518,23.93455599078548
240,all,all,lag_24h,18298,0,66,11.473461242607845,18.077804291029626
240,all,all,lag_7d,18298,0,66,8.977403143883976,14.353061467523283
240,all,all,seasonal_naive,18298,0,66,8.484209618374857,13.639650282324789
240,all,weekday,g0,18298,0,66,7.513092161634109,11.996152454306438
240,all,weekday,l0,17287,1011,66,6.675842758310056,10.817656612196055
240,all,weekday,h0,18298,0,66,8.044304200314865,12.72940806079072
240,all,weekday,persistence,18298,0,66,16.416755927386518,23.93455599078548
240,all,weekday,lag_24h,18298,0,66,11.473461242607845,18.077804291029626
240,all,weekday,lag_7d,18298,0,66,8.977403143883976,14.353061467523283
240,all,weekday,seasonal_naive,18298,0,66,8.484209618374857,13.639650282324789
240,all,weekend,g0,0,0,0,,
240,all,weekend,l0,0,0,0,,
240,all,weekend,h0,0,0,0,,
240,all,weekend,persistence,0,0,0,,
240,all,weekend,lag_24h,0,0,0,,
240,all,weekend,lag_7d,0,0,0,,
240,all,weekend,seasonal_naive,0,0,0,,
360,core,all,g0,28174,0,66,7.320808780807085,11.343488795648563
360,core,all,l0,27245,929,66,6.651360723494095,10.737548662547653
360,core,all,h0,28174,0,66,7.663504727335576,11.818341306866722
360,core,all,persistence,28174,0,66,18.938947777462033,27.26180798358021
360,core,all,lag_24h,28174,0,66,10.224861467979911,16.482594613709633
360,core,weekday,g0,21541,0,66,7.437990963936713,11.690331885697903
360,core,weekday,l0,20612,929,66,6.605655946320289,10.852565739898985
360,core,weekday,h0,21541,0,66,7.886211362130562,12.290199556576114
360,core,weekday,persistence,21541,0,66,20.334551043672725,28.583331090255317
360,core,weekday,lag_24h,21541,0,66,10.253002822491109,16.851135123202713
360,core,weekend,g0,6633,0,46,6.940253766967898,10.135564383571557
360,core,weekend,l0,6633,0,46,6.793387991262298,10.371997207090644
360,core,weekend,h0,6633,0,46,6.940253766967898,10.135564383571557
360,core,weekend,persistence,6633,0,46,14.406656211436918,22.43958313301096
360,core,weekend,lag_24h,6633,0,46,10.133471008530842,15.224333312224644
360,all,all,g0,15210,0,66,8.107048156860161,12.679879681521033
360,all,all,l0,14301,909,66,7.215412335514322,11.715276343237138
360,all,all,h0,15210,0,66,8.926147669430659,13.632227185511594
360,all,all,persistence,15210,0,66,22.135806155548675,30.358617966922427
360,all,all,lag_24h,15210,0,66,11.974900977303266,18.865569573442148
360,all,all,lag_7d,15210,0,66,8.746322293465283,13.972424501818338
360,all,all,seasonal_naive,15210,0,66,8.338918562140647,13.535302287515817
360,all,weekday,g0,15210,0,66,8.107048156860161,12.679879681521033
360,all,weekday,l0,14301,909,66,7.215412335514322,11.715276343237138
360,all,weekday,h0,15210,0,66,8.926147669430659,13.632227185511594
360,all,weekday,persistence,15210,0,66,22.135806155548675,30.358617966922427
360,all,weekday,lag_24h,15210,0,66,11.974900977303266,18.865569573442148
360,all,weekday,lag_7d,15210,0,66,8.746322293465283,13.972424501818338
360,all,weekday,seasonal_naive,15210,0,66,8.338918562140647,13.535302287515817
360,all,weekend,g0,0,0,0,,
360,all,weekend,l0,0,0,0,,
360,all,weekend,h0,0,0,0,,
360,all,weekend,persistence,0,0,0,,
360,all,weekend,lag_24h,0,0,0,,
360,all,weekend,lag_7d,0,0,0,,
360,all,weekend,seasonal_naive,0,0,0,,
720,core,all,g0,15773,0,43,8.538003613215341,13.519872474620458
720,core,all,l0,15773,0,43,6.98918746009121,11.253652356883224
720,core,all,h0,15773,0,43,8.275358385259782,14.10424109607259
720,core,all,persistence,15773,0,43,31.360567361530354,39.53413729185325
720,core,all,lag_24h,15773,0,43,10.56934733893822,17.567583037929225
720,core,weekday,g0,14382,0,43,8.594946007138853,13.670593178858027
720,core,weekday,l0,14382,0,43,6.986145737196195,11.351210625282057
720,core,weekday,h0,14382,0,43,8.306898226542062,14.303463610348937
720,core,weekday,persistence,14382,0,43,32.119889831977154,40.23977917266629
720,core,weekday,lag_24h,14382,0,43,10.409951285419313,17.458542972702606
720,core,weekend,g0,1391,0,43,7.949257740168649,11.849670179210994
720,core,weekend,l0,1391,0,43,7.020636819311979,10.190361608284682
720,core,weekend,h0,1391,0,43,7.949257740168649,11.849670179210994
720,core,weekend,persistence,1391,0,43,23.50968614660169,31.319780806356018
720,core,weekend,lag_24h,1391,0,43,12.217394816802292,18.657664614277206
720,all,all,g0,8981,0,43,9.877884521982677,15.523666871405151
720,all,all,l0,8981,0,43,7.647105289637053,12.327672351189067
720,all,all,h0,8981,0,43,10.751058017476964,17.364894125851826
720,all,all,persistence,8981,0,43,31.95357806427972,40.22561125402761
720,all,all,lag_24h,8981,0,43,13.169605913546105,20.576786394347895
720,all,all,lag_7d,8981,0,43,7.5859407364619145,11.86926364412696
720,all,all,seasonal_naive,8981,0,43,7.784815534478583,12.828099379132906
720,all,weekday,g0,8981,0,43,9.877884521982677,15.523666871405151
720,all,weekday,l0,8981,0,43,7.647105289637053,12.327672351189067
720,all,weekday,h0,8981,0,43,10.751058017476964,17.364894125851826
720,all,weekday,persistence,8981,0,43,31.95357806427972,40.22561125402761
720,all,weekday,lag_24h,8981,0,43,13.169605913546105,20.576786394347895
720,all,weekday,lag_7d,8981,0,43,7.5859407364619145,11.86926364412696
720,all,weekday,seasonal_naive,8981,0,43,7.784815534478583,12.828099379132906
720,all,weekend,g0,0,0,0,,
720,all,weekend,l0,0,0,0,,
720,all,weekend,h0,0,0,0,,
720,all,weekend,persistence,0,0,0,,
720,all,weekend,lag_24h,0,0,0,,
720,all,weekend,lag_7d,0,0,0,,
720,all,weekend,seasonal_naive,0,0,0,,
1440,core,all,g0,2569,0,43,10.782362719103816,15.50387757341985
1440,core,all,l0,2569,0,43,9.781576001935502,14.313619201862206
1440,core,all,h0,2569,0,43,10.782362719103816,15.50387757341985
1440,core,all,persistence,2569,0,43,22.2564592359505,28.981662013842833
1440,core,all,lag_24h,2569,0,43,22.2564592359505,28.981662013842833
1440,core,weekday,g0,2569,0,43,10.782362719103816,15.50387757341985
1440,core,weekday,l0,2569,0,43,9.781576001935502,14.313619201862206
1440,core,weekday,h0,2569,0,43,10.782362719103816,15.50387757341985
1440,core,weekday,persistence,2569,0,43,22.2564592359505,28.981662013842833
1440,core,weekday,lag_24h,2569,0,43,22.2564592359505,28.981662013842833
1440,core,weekend,g0,0,0,0,,
1440,core,weekend,l0,0,0,0,,
1440,core,weekend,h0,0,0,0,,
1440,core,weekend,persistence,0,0,0,,
1440,core,weekend,lag_24h,0,0,0,,
1440,all,all,g0,2569,0,43,10.782362719103816,15.50387757341985
1440,all,all,l0,2569,0,43,9.781576001935502,14.313619201862206
1440,all,all,h0,2569,0,43,10.782362719103816,15.50387757341985
1440,all,all,persistence,2569,0,43,22.2564592359505,28.981662013842833
1440,all,all,lag_24h,2569,0,43,22.2564592359505,28.981662013842833
1440,all,all,lag_7d,2569,0,43,7.774278413251751,10.482762808233435
1440,all,all,seasonal_naive,2569,0,43,9.268564692681407,13.30552334984616
1440,all,weekday,g0,2569,0,43,10.782362719103816,15.50387757341985
1440,all,weekday,l0,2569,0,43,9.781576001935502,14.313619201862206
1440,all,weekday,h0,2569,0,43,10.782362719103816,15.50387757341985
1440,all,weekday,persistence,2569,0,43,22.2564592359505,28.981662013842833
1440,all,weekday,lag_24h,2569,0,43,22.2564592359505,28.981662013842833
1440,all,weekday,lag_7d,2569,0,43,7.774278413251751,10.482762808233435
1440,all,weekday,seasonal_naive,2569,0,43,9.268564692681407,13.30552334984616
1440,all,weekend,g0,0,0,0,,
1440,all,weekend,l0,0,0,0,,
1440,all,weekend,h0,0,0,0,,
1440,all,weekend,persistence,0,0,0,,
1440,all,weekend,lag_24h,0,0,0,,
1440,all,weekend,lag_7d,0,0,0,,
1440,all,weekend,seasonal_naive,0,0,0,,
