prk_center_id,name,cells,la,lo
12017-29391-00199-00-1,수자인프리미엄APT,40,,
12034-29391-00401-00-1,수원지방검찰청 안양지청,181,37.3960769484,126.9617562701
12406-29391-00161-00-1,호계운수,6,37.3776032424,126.9455930571
12420-29391-00028-00-1,극동메모리스,39,37.3858207754,126.9057587241
12443-29391-00105-00-1,미르젠,24,,
12456-29391-00114-00-1,대광로제비앙,300,37.3995199551,126.9320968845
12502-29391-00500-00-1,관양119안전센터,6,,
12506-29392-00318-00-1,비산동 원평노블레스,189,,
12509-29391-00176-00-1,어반휴플러스,28,37.3792816305,126.9512869289
12511-29391-00211-00-1,,12,37.3826300359,126.9301203299
12512-29391-00158-00-1,동편마을2단지,845,37.4114983664,126.9732112508
12569-29391-00268-00-1,대교식당,12,,
12580-29391-00590-00-1,금이윤채,2,,
12617-29391-00076-00-1,노블리앙 비씨 2차,10,37.3973357231,126.9258377299
12653-29391-00337-00-1,베아누체 11차,12,,
12662-29391-00242-00-1,루하채,5,,
12729-29391-00432-00-1,로체그랑,8,37.4107466475,126.9104174108
12730-29391-00397-00-1,라메종1단지,18,,
12732-29391-00205-00-1,관음사,2,37.3814807711,126.9005341013
12765-29391-00725-00-1,골든클래스,4,,
12776-29391-00062-00-1,안양금융센터 A.F.C,273,,
12790-29391-00470-00-1,,25,37.3912319752,126.9705895463
12791-29392-00380-00-1,블루오션,92,37.3985614293,126.932377833
12991-29391-00253-00-1,프라임,3,,
13455-29391-00052-00-1,비산 삼성 래미안,4790,37.4007350004,126.939604057
13582-29391-00057-00-1,퍼스트힐3차,30,,
13829-29391-00009-00-1,연리지Ⅱ,5,37.3786513414,126.9369390965
13901-29391-00003-00-1,관양파출소(협의93-11호),2,37.4012528056,126.9772356
13902-29391-00009-00-1,,11,37.4148104491,126.9181572034
13902-29391-00011-00-1,안양2동다목적복지회관,4,37.4144359841,126.9186772306
13902-29391-00012-00-1,,48,37.4125041104,126.918548288
13904-29391-00002-00-1,관양동크리닉,4,37.4050856004,126.9572021946
13905-29391-00002-00-1,원불교동안교당,11,37.4034311293,126.9679689885
13905-29391-00019-00-1,,11,37.4027369893,126.9738558879
13905-29391-00020-00-1,,61,37.4026074598,126.9748588676
13905-29391-00029-00-1,관양동 1488-41번지 용도변경,2,37.4021533817,126.9750306917
13905-29391-00034-00-1,허가번호 : 40호,2,37.4015947715,126.975139301
13905-29392-00022-00-1,,28,37.4022292502,126.9759116182
13907-29391-00007-00-1,,11,37.4004450494,126.9750493289
13907-29391-00012-00-1,,12,37.4009962217,126.9738790808
13908-29391-00001-00-1,,530,37.392951549,126.9723415264
13908-29391-00005-00-1,LG베스트샵 평촌점,48,37.3922635211,126.9738956625
13908-29391-00008-00-1,,12,37.3920895217,126.9696903099
13908-29391-00012-00-1,본골프다임,10,37.3925652696,126.9697217382
13908-29392-00006-00-1,신화금형,20,37.3929693076,126.9712438536
13909-29391-00001-00-1,,17,37.4005389785,126.976129004
13910-29391-00004-00-1,오토브랜드,4,37.3965231316,126.9720465857
13910-29391-00007-00-1,안양자동차정비소,26,37.3969883796,126.9734377679
13910-29391-00008-00-1,디지털 엠파이어(A동),156,37.39678651,126.9732571442
13910-29391-00009-00-1,디지털 엠파이어(B동),221,37.3967935251,126.97241691
13910-29391-00010-00-1,,12,37.396044129,126.9735284477
13910-29391-00017-00-1,,22,37.3936719181,126.9704846977
13910-29391-00021-00-1,,33,37.393860021,126.9733936999
13910-29391-00024-00-1,,31,37.3942205417,126.9738949839
13910-29391-00026-00-1,갑지카독크,53,37.3937556271,126.9739538686
13910-29391-00029-00-1,둘리상사,5,37.3910266135,126.9708787164
13910-29391-00040-00-1,세화연립,5,37.4070704314,126.9544767168
13910-29391-00054-00-1,,12,37.4049764169,126.9543650371
13910-29391-00058-00-1,은빛가온누리,20,37.4044065932,126.9533940489
13910-29391-00063-00-1,.,5,37.3887219146,126.9383263814
13910-29391-11014-00-1,삼성산터널 시점부 전기실,4,,
13910-29392-00020-00-1,,42,37.3941483461,126.9733845635
13910-29392-00052-00-1,,13,37.405636023,126.9545182458
13911-29391-00005-00-1,Festa-via,260,37.3906076964,126.9475395227
13911-29391-00006-00-1,안양동안경찰서,171,37.3911884642,126.9486999967
13911-29391-00007-00-1,안양무역센터,195,37.3904858676,126.949165726
13911-29391-00008-00-1,안양 벤처텔,130,37.3908104039,126.9495584872
13911-29391-00012-00-1,,6062,37.3935248552,126.950916339
13911-29391-00015-00-1,,74,37.393230085,126.9527956699
13911-29391-00018-00-1,,93,37.3915931683,126.951170554
13911-29391-00020-00-1,신용보증기금안양지점,45,37.3919540071,126.9522228005
13911-29391-00021-00-1,,54,37.3920911043,126.9525750466
13911-29391-00023-00-1,삼성안양본점(SAMSUNG),50,37.3923653473,126.953410539
13911-29391-00024-00-1,신안메트로칸,605,37.3926179178,126.9541376396
13911-29391-00032-00-1,이해문 식당,2,37.4063191838,126.9726890131
13911-29391-00045-00-1,,16,37.396834433,126.978501802
13911-29391-00047-00-1,,12,37.4069114122,126.9636121723
13911-29391-00059-00-1,르노삼성 평촌정비센타,11,37.4006791211,126.9610040087
13911-29391-00062-00-1,평촌스마트베이,332,37.3994559096,126.9682869078
13911-29391-00063-00-1,안양메가밸리,486,37.4014992655,126.9676942337
13911-29391-00064-00-1,,1255,37.4008761451,126.9691401395
13911-29391-00066-00-1,,16,37.3997413978,126.9712819242
13911-29391-00071-00-1,관양동 853-1 자동차관련시설 (문현숙),1,37.3975649559,126.9730942404
13911-29391-00083-00-1,,13,37.3983823835,126.9701756626
13911-29391-00084-00-1,케이디아이,4,37.3985768301,126.9694934458
13911-29391-00095-00-1,유로테크,19,37.3862706102,126.9373347059
13911-29391-00098-00-1,한국의류시험연구원 안양 제2별관,41,37.3872429598,126.9359246548
13911-29391-00099-00-1,,45,37.3866122805,126.9359929429
13911-29391-00100-00-1,,46,37.3858735856,126.9362600573
13911-29391-00104-00-1,동영 벤처스텔,25,37.3852137605,126.9357502311
13911-29392-00009-00-1,금강벤처텔,263,37.3911529919,126.9500280294
13912-29391-00002-00-1,허가번호262,4,37.403070136,126.9550935511
13912-29391-00003-00-1,효재주유소,3,37.4033879249,126.9567830075
13912-29391-00019-00-1,허가번호94-206,5,37.4049874682,126.9549884959
13912-29391-00023-00-1,관양동 복합건축,8,37.4051641574,126.9552233198
13912-29391-00027-00-1,김은숙씨 건물,6,37.406119232,126.9552046797
13912-29391-00028-00-1,박순하씨 건물,6,37.4061335298,126.9548929337
13912-29392-00040-00-1,,13,37.4009029966,126.9761559943
13914-29391-00002-00-1,,12,37.3962963533,126.9508061154
13915-29391-00004-00-1,.,3,37.3841152337,126.9625843697
