lae_id,pkplc_id,n_obs,first_ts,last_ts,median_gap_min,p90_gap_min
31020,00031,5,2026-09-04 19:40:00+09:00,2026-09-05 00:00:00+09:00,55.0,133.0
31020,00032,109,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:50:00+09:00,5.0,5.0
31020,00033,118,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:40:00+09:00,5.0,5.0
31020,00034,121,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00035,111,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:25:00+09:00,5.0,5.0
31020,00036,121,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00037,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00038,122,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:55:00+09:00,5.0,5.0
31020,00039,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00040,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00041,114,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00042,122,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00043,38,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:55:00+09:00,5.0,35.0
31020,00044,119,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00045,118,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00046,75,2026-09-04 14:20:00+09:00,2026-09-04 22:45:00+09:00,5.0,10.0
31020,00047,120,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00048,113,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:25:00+09:00,5.0,5.0
31020,00049,103,2026-09-04 14:03:39+09:00,2026-09-04 23:45:00+09:00,5.0,5.0
31020,00050,119,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00051,109,2026-09-04 14:20:00+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00052,101,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00053,114,2026-09-04 14:03:39+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00054,102,2026-09-04 14:03:39+09:00,2026-09-04 23:45:00+09:00,5.0,5.0
31020,00055,84,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:05:00+09:00,5.0,10.0
31020,00056,94,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:20:00+09:00,5.0,5.0
31020,00057,100,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00058,52,2026-09-04 14:40:00+09:00,2026-09-04 23:50:00+09:00,5.0,20.0
31020,00059,101,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.500000000000043
31020,00060,112,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00062,98,2026-09-04 14:05:31+09:00,2026-09-04 23:50:00+09:00,5.0,5.0
31020,00063,122,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00064,122,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00065,121,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00068,120,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00069,95,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,10.0
31020,00070,112,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:50:00+09:00,5.0,5.0
31020,00071,105,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,10.0
31020,00072,99,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:35:00+09:00,5.0,10.0
31020,00097,119,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00099,89,2026-09-04 14:03:39+09:00,2026-09-04 22:55:00+09:00,5.0,10.0
31020,00100,41,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:45:00+09:00,5.0,50.50000000000001
31020,00101,110,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00102,118,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:50:00+09:00,5.0,5.0
31020,00104,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00105,83,2026-09-04 09:45:19.483400+09:00,2026-09-04 23:55:00+09:00,5.0,15.0
31020,00106,115,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00107,110,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31020,00108,121,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00004,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00008,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00011,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00012,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00013,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00014,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00015,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00016,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00018,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00024,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00026,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00029,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00030,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00031,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00034,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00035,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00038,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00043,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00044,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00047,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00049,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00053,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00054,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00058,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00061,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00063,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00065,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00067,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00068,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00069,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00109,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00111,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00116,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00123,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00126,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00127,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00143,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00144,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00145,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00147,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
31030,00149,123,2026-09-04 09:45:19.483400+09:00,2026-09-05 00:00:00+09:00,5.0,5.0
