laeId,laeNm,pkplcId,pkplcNm,pkplcDivNm,pkplcTypeNm,latCrdn,lonCrdn,roadNmZip,roadNmAddr,lotnoAddr,pklotCnt,sbcmpctPklotCnt,pwdbsPrvusePklotCnt,femalePrfncPklotCnt,olmanPrfncPklotCnt,evPklotCnt,lndlvDivNm,wkdayOprtStartTime,wkdayOprtEndTime,satOprtStartTime,satOprtEndTime,hldyOprtStartTime,hldyOprtEndTime,parkingBscTime,parkingBscFare,addUnitTime,addUnitFare,ddPktckFareAplcnTime,ddPktckFare,mmCmmtktFare
31130,남양주시,00058,한강시민공원 도농지구(소형차),공영,노상,37.6103,127.1485,,,,100,,0,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,60,,10,200,,7000,30000
31240,화성시,00066,마도바이오밸리,공영,노외,37.171184,126.7723289,18541,"경기 화성시 청원산단1길 163 (마도면,청원리)","경기 화성시 청원산단1길 163 (마도면,청원리)",190,,7,,,,1급지,00:00,00:00,00:00,00:00,00:00,00:00,90,,10,300,,10000,
31110,과천시,00034,공영노외주차장,공영,노외,37.4394401,126.9968948,13827,경기도 과천시 문원로 110,경기도 과천시 문원동 142,0,0,0,0,0,0,기타,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
31130,남양주시,00061,오남 제3공영(오남호수공원),공영,노상,37.693451,127.218761,12037,"경기 남양주시 진건오남로690번길 36 (오남읍,오남리)","경기 남양주시 진건오남로690번길 36 (오남읍,오남리)",112,,6,,,6,1급지,08:00,20:00,08:00,20:00,00:00,00:00,30,600,10,300,,7000,70000
31110,과천시,00081,소방서뒤,공영,노상,37.4286169,126.9927782,13807,경기도 과천시 중앙로 129,경기도 과천시 중앙동 40-10번지,22,0,1,0,0,0,2급지,00:00,00:00,00:00,00:00,00:00,00:00,10,,10,400,10,17000,130000
31240,화성시,00127,석우동 제3공영주차장,공영,노외,37.2132002,127.084933,,동탄구 석우동 648,동탄구 석우동 648,502,,17,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,400,,6000,50000
31040,안양시,00017,인덕원1노상,공영,기타,37.39829842,126.97757033,,경기 안양시 동안구 흥안대로 498-2 (관양동),경기 안양시 동안구 흥안대로 498-2 (관양동),51,,0,,,0,1급지,09:00,22:00,09:00,22:00,09:00,22:00,30,600,10,300,,25000,
31030,의정부시,00155,민락2지구(궁촌교),공영,노외,37.747183,127.094305,,,의정부시 민락동 914,35,7,1,0,0,0,2급지,00:00,23:59,00:00,23:59,00:00,23:59,,,,,12,,56000
31240,화성시,00074,마도바이오밸리1,공영,노외,37.1703127,126.7640527,18543,"경기 화성시 청원산단5길 165 (마도면,청원리)","경기 화성시 청원산단5길 165 (마도면,청원리)",162,,6,,,,1급지,00:00,00:00,00:00,00:00,00:00,00:00,90,,10,300,,10000,
31100,고양시,00052,탄현 제2공영주차장,공영,기타,37.69112506,126.76346841,10343,경기 고양시 일산서구 산현로17번길 35,,38,,,,,,기타,09:00,21:00,00:00,00:00,00:00,00:00,30,720,5,120,,,
31040,안양시,00083,덕현공원지하,공영,노외,37.37191616,126.96144509,14111,경기 안양시 동안구 흥안대로 151 (호계동) 호계1동행정복지센터 옆,경기 안양시 동안구 흥안대로 151 (호계동) 호계1동행정복지센터 옆,125,,0,,,0,2급지,09:00,20:00,00:00,00:00,00:00,00:00,30,400,10,200,,25000,70000
31130,남양주시,00077,(센터) 도농공원 문화체육시설,공영,노상,37.60049814,127.15316155,12261,경기 남양주시 가운로1길 45-81 (도농동),경기 남양주시 가운로1길 45-81 (도농동),0,,0,,,0,1급지,00:00,00:00,00:00,00:00,00:00,00:00,,,,,,,
31010,수원시,00068,서수원칠보체육관,,,37.27629039,126.94831138,16389,,경기 수원시 권선구 서수원로577번길 171  ,303,,,,,,기타,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,100,,3500,
31070,평택시,00044,서정-제4,공영,노상,37.05705954,127.05644211,17779,"경기 평택시 정암로 23 (이충동,영화빌딩)","경기 평택시 정암로 23 (이충동,영화빌딩)",26,,,,,,1급지,09:00,18:00,00:00,00:00,00:00,00:00,120,800,10,300,,10000,70000
31030,의정부시,00018,가능1동 입체식,공영,노외,37.751468,127.039146,11677,신촌로39번길 20,의정부시 가능동 628,153,1,4,0,0,8,2급지,00:00,23:59,00:00,23:59,00:00,23:59,,,,,12,,56000
31110,과천시,00040,코오롱앞(기계식),공영,노외,37.4257552,126.9913459,13837,경기도 과천시 별양상가2로36,경기도 과천시 별양동 1-35,0,0,0,0,0,0,2급지,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
31130,남양주시,00050,와부 제1공영,공영,노상,37.58628288,127.21272615,12209,경기 남양주시 와부읍 덕소로97번길 7-1,경기 남양주시 와부읍 덕소로97번길 7-1,28,,1,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,
31240,화성시,00007,남양리 중심상가,공영,노외,37.19899711,126.8259263,18270,경기 화성시 만세구 시청로160번길 남양리 2319-3,경기 화성시 만세구 시청로160번길 남양리 2319-3,28,,2,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,300,,31200,
31050,부천시,00036,상2동 행정복지센터(노외),공영,노외,37.50057615,126.75441741,14589,경기 부천시 조마루로 95,경기 부천시 조마루로 95,55,,2,,,,2급지,00:00,23:59,00:00,23:59,00:00,23:59,,700,10,300,,7000,
31240,화성시,00045,여울 공원(관리동),공영,노외,37.1964625,127.0875082,18479,경기 화성시 동탄구 동부대로 1063 (여울동),경기 화성시 동탄구 동부대로 1063 (여울동),53,,3,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,59,,10,,,10000,
31100,고양시,00008,행신 제1공영주차장,공영,기타,37.61751878,126.83318893,10524,경기 고양시 덕양구 무원로54번길 14,,46,,,,,,기타,09:00,21:00,00:00,00:00,00:00,00:00,30,240,5,70,,,
31050,부천시,00041,무지개고가1,공영,노외,37.505328,126.758687,14545,경기 부천시 길주로 104,경기 부천시 길주로 104,38,,1,,,,2급지,00:00,23:59,00:00,23:59,00:00,23:59,,,10,,,,70000
31020,성남시,00066,율동공원A부설주차장,공영,노외,37.3833559,127.150005,13576,,경기도 성남시 분당구 문정로 145,145,0,4,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,300,10,100,,,
31050,부천시,00034,별빛마루도서관,공영,노외,37.46666216,126.82113752,14787,경기 부천시 옥길로 105,경기 부천시 옥길로 105,93,,2,,,,3급지,09:00,19:00,09:00,19:00,09:00,19:00,,,10,200,,6000,15000
31020,성남시,00051,판교동임시공영주차장,공영,노외,37.3890758,127.0986252,13479,,경기도 성남시 분당구 판교동 578,126,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31130,남양주시,00036,(제2청사)일반,공영,노상,37.610037,127.171277,12284,"경기 남양주시 경춘로 522 (다산동,남양주시청제2청사)","경기 남양주시 경춘로 522 (다산동,남양주시청제2청사)",200,,9,,,0,1급지,08:00,20:00,00:00,00:00,00:00,00:00,60,,10,200,,5000,
31240,화성시,00129,여울 공원(LH),공영,노외,37.1949567,127.0858631,18479,경기 화성시 동탄구 동부대로 1063-1 (여울동),경기 화성시 동탄구 동부대로 1063-1 (여울동),211,,7,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,59,,10,,,10000,
31240,화성시,00040,남양택지 주3,공영,노외,37.21145406,126.82897464,18266,경기 화성시 만세구 시청로45번길 남양리 2226-7,경기 화성시 만세구 시청로45번길 남양리 2226-7,83,,4,,,,1급지,10:00,19:00,10:00,19:00,10:00,19:00,90,,10,400,,,
31110,과천시,00104,광창3주차장,공영,노외,37.4484426,127.010162,,,경기도 과천시 과천동 143-3,0,0,0,0,0,0,기타,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
31100,고양시,00057,성사 제1공영주차장,공영,기타,37.65355843,126.83857047,10468,경기 고양시 덕양구 고양대로1384번길 7-17,,20,,,,,,기타,09:00,18:00,00:00,00:00,00:00,00:00,30,240,5,70,,,
31240,화성시,00114,정남중앙교회,공영,노외,37.16983572,126.982329,18516,"경기 화성시 만년로 539-29 (정남면,괘랑리,정남중앙교회)","경기 화성시 만년로 539-29 (정남면,괘랑리,정남중앙교회)",70,,0,,,,1급지,07:00,19:00,07:00,19:00,07:00,19:00,,,,,,,
31150,시흥시,00012,배곧10공영주차장,공영,기타,37.3675245,126.730172,,배곧동 209,,106,,,,,,1급지,10:00,22:00,10:00,22:00,10:00,22:00,30,800,10,400,,,
31110,과천시,00068,공영노외주차장,공영,노외,37.4233584,127.0097655,,,경기도 과천시 주암동 69-1,0,0,0,0,0,0,기타,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
31170,의왕시,00034,백운커뮤니티센터 주차장,공영,노외,37.3699467,127.0072198,16016,경기도 의왕시 학의동 1136,,48,0,2,0,0,2,기타,00:00,00:00,00:00,00:00,00:00,00:00,30,600,10,200,,6000,
31040,안양시,00024,문예노상,공영,기타,37.38546615,126.93175398,14093,경기 안양시 만안구 문예로 36-2 (안양동),경기 안양시 만안구 문예로 36-2 (안양동),54,,0,,,0,1급지,10:00,18:00,00:00,00:00,00:00,00:00,30,600,10,300,,25000,90000
31100,고양시,00029,중산공원 부설주차장,공영,기타,37.6923842,126.77952198,10337,경기 고양시 일산동구 중산로 217,,103,,,,,,기타,09:00,21:00,08:00,21:00,08:00,21:00,5,100,5,180,,,
31050,부천시,00109,역곡남부시장,공영,노외,37.48200082,126.81240432,14684,경기 부천시 소사구 부광로22번길 21,경기 부천시 소사구 부광로22번길 21,50,,1,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,300,10,200,,4000,50000
31220,안성시,00002,대덕면 내리 공영주차장,공영,노외,37.002998,127.2244234,,경기도 안성시 대덕면 내리 681-12,경기도 안성시 대덕면,38,0,2,1,0,2,3급지,12:00,23:59,12:00,23:59,12:00,23:59,60,200,30,1000,,6000,
31110,과천시,00025,상삼포3주차장,공영,노외,37.446671,127.023136,,,경기도 과천시 주암동 422-16,0,0,0,0,0,0,기타,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
31070,평택시,00046,안일,공영,노외,36.98795157,126.92940737,17936,"경기 평택시 안현로서2길 21 (안중읍,안중리,안일공영주차장)","경기 평택시 안현로서2길 21 (안중읍,안중리,안일공영주차장)",30,,,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,120,800,10,300,,10000,80000
31050,부천시,00037,원종역 공영,공영,노외,37.52376983,126.80411947,14431,경기 부천시 원종로36번길 9,경기 부천시 원종로36번길 9,19,,2,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,,900,10,400,,9500,
31050,부천시,00060,소사근린공원,공영,노외,37.46794208,126.79664433,14761,경기 부천시 소사로 107,경기 부천시 소사로 107,150,,2,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,300,10,200,,4000,50000
31040,안양시,00055,남부노상,공영,노상,37.39690423,126.92628492,,경기 안양시 만안구 만안로 173 (안양동) 앞 남부노상,경기 안양시 만안구 만안로 173 (안양동) 앞 남부노상,55,,0,,,0,1급지,10:00,18:00,00:00,00:00,00:00,00:00,30,600,10,300,,25000,90000
31040,안양시,00059,학원가노상,공영,노상,37.38222035,126.95973822,,경기 안양시 동안구 평촌대로 123 호계동 1161,경기 안양시 동안구 평촌대로 123 호계동 1161,15,,0,,,0,2급지,10:00,20:00,00:00,00:00,00:00,00:00,30,400,10,200,,25000,
31240,화성시,00008,천천리,공영,노상,37.24376,126.9466057,14548,경기도 화성시 매송면천천리219-7,경기도 화성시 매송면천천리219-7,24,,0,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,400,,,
31240,화성시,00068,동탄 북광장(노상),공영,노상,37.20565008,127.07431449,18453,경기 화성시 동탄구 노작로 197 (반송동 90-6),경기 화성시 동탄구 노작로 197 (반송동 90-6),82,,2,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,400,,,100000
31010,수원시,00053,수원시청·시의회(지상),,,37.2636,127.0262,16490,,경기 수원시 팔달구 효원로235번길 13  (인계동),251,,,,,,기타,00:00,23:59,00:00,23:59,00:00,23:59,40,500,10,500,,10000,
31240,화성시,00006,중리,공영,노외,37.2047835,127.1393001,,경기도 화성시 중동164,경기도 화성시 중동164,34,,3,,,,1급지,00:00,00:00,00:00,00:00,00:00,00:00,,,,,,,
31020,성남시,00034,금광2동제1공영주차장,공영,노외,37.4478882,127.1644013,13173,,경기도 성남시 중원구 금빛로 69번길 18,262,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31050,부천시,00010,원미구청,공영,노외,37.49673391,126.78750991,14566,경기 부천시 원미구 부천로136번길 27,경기 부천시 원미구 부천로136번길 27,218,,10,,,,3급지,08:00,20:00,00:00,00:00,00:00,00:00,,400,10,200,,6000,15000
31240,화성시,00095,솔빛(노상),공영,노상,37.1940948,127.07317403,18443,경기 화성시 동탄구 동탄솔빛로 57 (반송동 220-3),경기 화성시 동탄구 동탄솔빛로 57 (반송동 220-3),20,,1,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,400,,,
31130,남양주시,00010,다산 제4공영,공영,노상,37.61061076,127.15225403,12252,경기 남양주시 미금로56번길 3 (도농 농협 뒤),경기 남양주시 미금로56번길 3 (도농 농협 뒤),23,,0,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,70000
31070,평택시,00045,서재 제2,공영,노외,37.01039743,127.09388878,17848,"경기 평택시 서재3길 6 (동삭동,서재 제2공영주차장)","경기 평택시 서재3길 6 (동삭동,서재 제2공영주차장)",24,,,,,,2급지,00:00,23:59,00:00,23:59,00:00,23:59,30,800,10,300,,10000,80000
31200,파주시,00001,금촌통일시장,공영,노외,37.76342884,126.77318182,10929,경기 파주시 명동길 51 (금촌동),경기 파주시 명동길 51 (금촌동),132,,4,,,0,3급지,09:00,22:00,00:00,00:00,00:00,00:00,90,400,10,150,,7000,70000
31010,수원시,00082,수원종합운동장,,,37.29781706,127.01006561,16308,,경기 수원시 장안구 경수대로 893  ,1402,,,,,,기타,00:00,23:59,00:00,23:59,00:00,23:59,30,600,10,300,,7000,
31020,성남시,00107,태평2동제1공영,공영,노외,37.4460475,127.1395187,13280,,경기도 성남시 수정구 태평2동  ,103,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31170,의왕시,00025,중앙도서관,공영,노외,37.34227,126.9698,16075,경기도 의왕시 골우물길 49,,34,0,3,0,0,0,기타,00:00,00:00,00:00,00:00,00:00,00:00,,,,,,,
31010,수원시,00014,망포 공영,,,37.245,127.058,,,경기 수원시 영통구 영통로200번길 1  (영통동),179,,,,,,기타,00:00,23:59,00:00,00:00,00:00,00:00,70,500,10,500,,10000,
31020,성남시,00046,신흥제10공영주차장,공영,노외,37.4419807,127.1479106,13353,,경기도 성남시 수정구 신흥동 2525,73,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31200,파주시,00009,금촌3,공영,노외,37.75136276,126.76777069,10915,경기 파주시 금빛로 4 (금촌동),경기 파주시 금빛로 4 (금촌동),51,,2,,,0,1급지,09:00,22:00,00:00,00:00,00:00,00:00,30,600,10,250,,9000,90000
31020,성남시,00021,정자역환승주차장,공영,노외,37.3657518,127.1073306,13558,,경기도 성남시 분당구 성남대로 331번길 6,206,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,,,,,,,
31020,성남시,00072,은행동제6공영주차장,공영,노외,37.4538529,127.1638191,13160,,경기도 성남시 중원구 자혜로 17번길 44-7,77,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,,,,,,,
31020,성남시,00044,백현동카페거리공영주차장,공영,노외,37.3854513,127.1120022,13536,,경기도 성남시 분당구 판교역로2번길 23,160,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31050,부천시,00055,고리울동굴시장,공영,노외,37.52672928,126.82063954,14408,경기 부천시 고리울로40번길 13,경기 부천시 고리울로40번길 13,81,,3,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,300,10,200,,4000,50000
31110,과천시,00052,한내3주차장,공영,노외,37.447387,126.9979839,13838,,경기도 과천시 과천동 527-18,0,0,0,0,0,0,5급지,00:00,00:00,00:00,00:00,00:00,00:00,10,,,,,,
