prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30079-29391-00001-00-1,,5,37.4142212137,126.9107295623,부설,0.9,False,False,False
30079-29391-00002-00-1,,7,37.4139548119,126.911127498,부설,0.9,False,False,False
30079-29391-00003-00-1,,7,37.4142861791,126.9108514826,부설,0.9,False,False,False
30079-29391-00004-00-1,다가구주택,1,37.4142755438,126.9110864532,부설,0.9,True,False,False
30079-29391-00005-00-1,,8,37.4145135653,126.9112895015,부설,0.9,False,False,False
30079-29391-00006-00-1,,5,37.4144235313,126.9113799764,부설,0.9,False,False,False
30079-29391-00007-00-1,해동3차,6,37.4139974398,126.9103050977,애매,0.3,False,False,False
30079-29391-00008-00-1,,2,37.4140768458,126.910458629,부설,0.9,False,False,False
30079-29391-00009-00-1,,5,37.414138204,126.9105760347,부설,0.9,False,False,False
30079-29391-00010-00-1,안양석수교회,11,37.4149277142,126.9108642777,부설,0.9,True,False,False
30079-29391-00015-00-1,,2,37.4145457336,126.9109325069,부설,0.9,False,False,False
30079-29391-00016-00-1,,4,37.4143934889,126.9097804875,부설,0.9,False,False,False
30079-29391-00017-00-1,,6,37.4155940746,126.9103438602,부설,0.9,False,False,False
30079-29391-00018-00-1,,2,37.4150706499,126.9092510142,부설,0.9,False,False,False
30079-29391-00019-00-1,경은빌딩,3,37.4149878117,126.9093234096,부설,0.9,True,False,False
30079-29391-00020-00-1,,2,37.4151572724,126.9094135748,부설,0.9,False,False,False
30079-29391-00021-00-1,석수2동주민센터,24,37.413870577,126.9093609036,비부설,0.9,False,True,False
30080-29391-00006-00-1,신흥아파트,14,37.4161889926,126.9106684858,부설,0.9,True,False,False
30080-29391-00007-00-1,,14,37.4154614058,126.9112477172,애매,0.3,False,False,False
30081-29391-00001-00-1,,7,37.4172655466,126.909270959,부설,0.9,False,False,False
30081-29391-00002-00-1,석수동 268-21 공동주택 (강정자외1인),8,37.4176223946,126.9093292706,부설,0.9,True,False,False
30081-29391-00003-00-1,,5,37.4169778148,126.9100485027,부설,0.9,False,False,False
30082-29391-00009-00-1,산들에빌,8,37.4201476075,126.917473579,부설,0.9,True,False,False
