pid,lat,lon,zone_commercial_ratio,zone_residential_ratio,zone_industrial_ratio,zone_green_ratio,zone_other_ratio,zone_covered,zone_truncated,land_price,land_price_500m_mean,land_price_n,cad_truncated,daynight_axis
std:208-2-000029,37.39883,126.913129,0.0061250885616886,0.7829203750419209,0.0,0.2109545363963905,0.0,1.025340139286718,0,,2234431.7953861584,997,1,0.007762656075246943
std:208-2-000030,37.390073,126.930569,0.4931885398224078,0.3351077811733242,0.109257080361385,0.0624465986428828,0.0,1.0000261396391463,0,3011000.0,2289048.4,1000,1,0.5954252449528254
std:208-2-000031,37.389026,126.936539,0.1844464059353501,0.0648506143860229,0.6268771429662773,0.1238258367123496,0.0,0.999999880467056,0,803500.0,2285505.9,1000,1,0.7398660669813747
std:208-2-000032,37.382554,126.935765,0.0993547101487145,0.2635560538758078,0.2658376248947578,0.3712516110807198,0.0,0.9999997488961276,0,1870000.0,1963822.4899598393,996,1,0.27377173674022237
std:209-2-000022,37.377873,126.954821,0.0,0.9086105101298152,0.0018334604263486,0.0895560294438362,0.0,0.9999979600105762,0,944100.0,2679048.8562091505,612,0,0.0
std:209-2-000023,37.368479,126.956052,0.1266505427190883,0.4025778764569988,0.1697609083115157,0.077431914878428,0.2235787576339691,1.2863790116414728,0,3148000.0,2384703.295571576,971,1,0.23931168117589052
std:209-2-000024,37.368702,126.958851,0.1543550899916121,0.4642993348224392,0.0483150281838079,0.2254272609214792,0.1076032860806614,1.1202957328913692,0,3166000.0,2433210.9631147543,976,1,0.24950131091037867
std:208-2-000051,37.400994,126.921391,0.4139417708166144,0.4456470403013158,0.0,0.1404111888820697,0.0,1.0000190356658494,0,7799000.0,4345618.15446339,997,1,0.4815578861226291
std:208-2-000052,37.4059999155,126.883488,0.0,0.1420610125830246,0.0792926528708282,0.7786463345461472,0.0,1.000000000000003,0,555300.0,798521.59137577,974,0,0.0
std:208-2-000053,37.406321,126.884022,0.0,0.1478551735819194,0.1007758024306912,0.7513690239873893,0.0,0.9999999999999978,0,555300.0,806035.6811301715,991,0,0.0
std:208-1-000001,37.396723,126.926338,0.4404141028528329,0.4361851194168961,0.0,0.1234007777302709,0.0,1.0053819193674505,0,,3972400.1001001,999,1,0.5024121533127687
std:208-1-000002,37.400587,126.92197,0.4411856899367002,0.416355622735087,0.0,0.1424586873282128,0.0,0.9999999406882,0,,4498675.92778335,997,1,0.5144774757989511
std:208-1-000003,37.396261,126.920467,0.3616020536246399,0.6014698747895787,0.0,0.0369280715857814,0.0,1.0002328984604596,0,,3858678.978978979,999,1,0.37546733837424684
std:208-1-000004,37.409156,126.915848,0.0,0.715377588905656,0.0,0.284622411094344,0.0,0.9999964473841332,0,,2019474.3975903615,996,1,0.0
std:208-1-000005,37.415309,126.91702,0.0606883727749668,0.5574439870099939,0.0,0.3818676402150392,0.0,1.0000047565987886,0,4211000.0,1644981.0,1000,1,0.09818022275371478
std:208-1-000006,37.399985,126.91863,0.3694754601913589,0.6013072168669819,0.0,0.0292173229416593,0.0,1.0000972627790032,0,,3266408.9717741935,992,1,0.3805954400741276
std:208-1-000007,37.388374,126.92961,0.4432855536096304,0.3899227844377168,0.0418759591213975,0.1249157028312552,0.0,1.006014552466496,0,4042000.0,2351044.388777555,998,1,0.5320224646917068
std:208-1-000008,37.389034,126.931797,0.4534583532439921,0.2755770760916213,0.2041452097554042,0.0668193609089822,0.0,1.004715314468569,0,,2403645.9,1000,1,0.6219976903690936
std:208-1-000010,37.385848,126.93295,0.2918201953251944,0.3550637209484661,0.2442783876804619,0.1088376960458775,0.0,1.0047152219795412,0,3695000.0,2180379.5795795796,999,1,0.4511167892474568
std:208-1-000011,37.389759,126.934457,0.3492323114018537,0.1405258204250601,0.443075209720029,0.0671666584530571,0.0,0.999999880467062,0,3106000.0,2291288.6773547092,998,1,0.7130709807699047
std:208-1-000012,37.40459,126.909477,0.0,0.8335221395844453,0.0,0.1664778604155546,0.0,1.014455905504812,0,,2067277.977977978,999,1,0.0
std:208-1-000013,37.435667,126.917068,0.0,0.0,0.0,0.9914356594008792,0.0085643405991208,1.006379152901685,0,497000.0,75124.24242424243,99,0,
std:208-1-000014,37.433685,126.901917,0.0,0.4122429964001005,0.0272848323682407,0.3712607745576685,0.1892113966739902,1.2346181662771514,0,2704000.0,1113169.7750281214,889,0,0.0
std:208-1-000015,37.399188,126.900075,0.0,0.3314307355808243,0.0518436700643358,0.6167255943548399,0.0,1.0003165480321845,0,722000.0,1070864.761904762,840,0,0.0
std:208-1-000016,37.385891,126.936294,0.1977270554887525,0.1025448198164217,0.5158906048284007,0.1838375198664251,0.0,1.0024144875998866,0,,2239056.2562562563,999,1,0.6584934246265898
std:208-2-000001,37.398221,126.924903,0.4645432800241069,0.4086535757992202,0.0,0.1268031441766729,0.0,1.005381917149806,0,5484000.0,3615627.610441767,996,1,0.5320029234256627
std:208-2-000002,37.395591,126.925273,0.4628110908908184,0.5003594006432555,0.0,0.0368295084659261,0.0,1.0053819185947983,0,,3458921.021021021,999,1,0.4805079629813863
std:208-2-000003,37.404503,126.919194,0.1640000775351586,0.6172860568938192,0.0,0.2187138655710221,0.0,1.0000000039632104,0,,2680067.5350701404,998,1,0.20991039045512064
std:208-2-000004,37.405082,126.917823,0.1133049687071282,0.7091814554149403,0.0,0.1775135758779315,0.0,1.0000000039632064,0,,2392301.8018018017,999,1,0.1377590746595863
std:208-2-000005,37.40151,126.915331,0.1322958316413817,0.8448727064839193,0.0,0.022831461874699,0.0,1.0253473047330055,0,,2579670.6706706705,999,1,0.13538691277882464
std:208-2-000006,37.397271,126.918516,0.2536198430686102,0.7391521770157243,0.0,0.0072279799156655,0.0,1.0001715011747772,0,2233000.0,2482814.5748987854,988,1,0.2554663487061869
std:208-2-000007,37.395251,126.922045,0.3998887676278862,0.5298618818279077,0.0,0.070249350544206,0.0,0.9999999480290368,0,2526000.0,3112006.206206206,999,1,0.43010324097321256
std:208-2-000008,37.397387,126.916402,0.1094084482458208,0.8503409223115261,0.0,0.0402506294426529,0.0,1.0035093150653789,0,,2689422.681451613,992,1,0.11399689502508865
std:208-2-000009,37.395251,126.922045,0.3998887676278862,0.5298618818279077,0.0,0.070249350544206,0.0,0.9999999480290368,0,2526000.0,3112006.206206206,999,1,0.43010324097321256
