horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
30,accessible,all,11526,66,1,4.51558931407523,4.056568879272969,8.460968256404902,7.863832819861221,0.4590204348022615,10.165238751262892,better,5,2026-09-16
30,accessible,weekday,11526,66,1,4.51558931407523,4.056568879272969,8.460968256404902,7.863832819861221,0.4590204348022615,10.165238751262892,better,5,2026-09-16
30,accessible,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
30,closed,all,0,0,0,,,,,,,unavailable,5,2026-09-16
30,closed,weekday,0,0,0,,,,,,,unavailable,5,2026-09-16
30,closed,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
30,unknown,all,0,0,0,,,,,,,unavailable,5,2026-09-16
30,unknown,weekday,0,0,0,,,,,,,unavailable,5,2026-09-16
30,unknown,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
30,all,all,7331,66,1,3.5717218514384954,3.0616883360435354,6.8999510819209355,6.165765619298315,0.51003351539496,14.279765799499371,better,6,2026-09-17
30,all,weekday,7331,66,1,3.5717218514384954,3.0616883360435354,6.8999510819209355,6.165765619298315,0.51003351539496,14.279765799499371,better,6,2026-09-17
30,all,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
30,accessible,all,7331,66,1,3.5717218514384954,3.0616883360435354,6.8999510819209355,6.165765619298315,0.51003351539496,14.279765799499371,better,6,2026-09-17
30,accessible,weekday,7331,66,1,3.5717218514384954,3.0616883360435354,6.8999510819209355,6.165765619298315,0.51003351539496,14.279765799499371,better,6,2026-09-17
30,accessible,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
30,closed,all,0,0,0,,,,,,,unavailable,6,2026-09-17
30,closed,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
30,closed,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
30,unknown,all,0,0,0,,,,,,,unavailable,6,2026-09-17
30,unknown,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
30,unknown,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
30,all,all,11084,66,1,4.10934998860723,3.725375478278842,7.63591106215406,7.102817688712453,0.3839745103283878,9.343923282098617,better,7,2026-09-18
30,all,weekday,11084,66,1,4.10934998860723,3.725375478278842,7.63591106215406,7.102817688712453,0.3839745103283878,9.343923282098617,better,7,2026-09-18
30,all,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
30,accessible,all,11084,66,1,4.10934998860723,3.725375478278842,7.63591106215406,7.102817688712453,0.3839745103283878,9.343923282098617,better,7,2026-09-18
30,accessible,weekday,11084,66,1,4.10934998860723,3.725375478278842,7.63591106215406,7.102817688712453,0.3839745103283878,9.343923282098617,better,7,2026-09-18
30,accessible,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
30,closed,all,0,0,0,,,,,,,unavailable,7,2026-09-18
30,closed,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
30,closed,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
30,unknown,all,0,0,0,,,,,,,unavailable,7,2026-09-18
30,unknown,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
30,unknown,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
60,all,all,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,all,weekend,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,accessible,all,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,accessible,weekend,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
60,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
60,all,all,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,all,weekend,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,accessible,all,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,accessible,weekend,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
60,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
60,all,all,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,all,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,all,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,accessible,all,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
